,股票代码,综合排名,最新季报增长率,EPS,股价强度,SMR,收益额增长稳定性,ROE,年度新高,量比变化,,行业板块,行业板块强度,季报日期,公告日,港股持股比例,当日涨幅,最新业绩预告,预告下限,预告上线
,code,cumulative_rank,new_quarter_eps,eps,rps,smr,eps_stability,roe,decline_range,volume_ratio,index_code,industry_name,industry_rps,period_date,ann_date,hk_hold,pct_chg,forecast,p_change_min,p_change_max
760,002315.SZ,62.4,-133.33,78.9,30.0,45.3,64.9,7.9903,-38.3,0.6,852221.SI,互联网信息服务,99.6,2020-03-31,2020-04-25,0.0,-1.94,,,
761,002316.SZ,4.2,-273.65,8.5,17.4,9.7,82.0,-18.5413,-55.6,1.91,852226.SI,IT服务,70.5,2020-03-31,2020-04-30,,2.72,首亏,-206.5628,-174.594
762,002317.SZ,71.8,-53.33,32.3,91.7,45.4,9.8,7.9743,-14.2,0.75,851521.SI,中药,78.0,2020-03-31,2020-04-28,3.0,3.28,,,
763,002318.SZ,73.6,10.79,85.5,56.4,67.5,32.1,15.1707,-25.5,0.51,850412.SI,特钢,37.4,2020-03-31,2020-04-24,0.82,-0.69,,,
764,002319.SZ,5.7,-88.24,28.1,2.6,29.0,83.9,-101.7186,-55.4,2.41,850335.SI,涂料油漆油墨制造,54.2,2020-03-31,2020-04-25,,-0.51,,,
765,002320.SZ,58.2,-33.6,46.5,77.5,51.2,25.3,5.9039,-9.7,1.09,851761.SI,航运,20.3,2020-03-31,2020-04-23,0.32,0.54,,,
766,002321.SZ,2.9,-913.33,21.7,6.5,2.3,73.5,2.3505,-47.0,1.4,850171.SI,畜禽养殖,46.7,2020-03-31,2020-04-30,,-2.64,,,
767,002321.SZ,2.9,-913.33,21.7,6.5,2.3,73.5,-2.0531,-47.0,1.4,850171.SI,畜禽养殖,46.7,2020-03-31,2020-04-30,,-2.64,,,
768,002322.SZ,75.2,-11.11,77.9,50.2,74.9,60.7,10.5579,-20.4,2.01,857321.SI,电网自动化,60.8,2020-03-31,2020-04-28,0.01,0.52,,,
769,002324.SZ,87.8,66.67,56.1,83.4,90.1,36.7,6.9879,0.0,0.76,850353.SI,改性塑料,63.0,2020-03-31,2020-04-11,0.89,1.57,预增,150.0,200.0
770,002325.SZ,23.5,-91.5,15.1,51.5,29.5,54.3,1.1562,-17.2,1.02,857221.SI,装修装饰,45.4,2020-03-31,2020-04-30,0.0,-0.96,,,
771,002326.SZ,69.9,-51.09,69.5,85.0,25.0,52.4,8.7583,-35.6,0.78,850382.SI,氟化工及制冷剂,50.7,2020-03-31,2020-04-29,0.87,-3.17,,,
772,002327.SZ,43.4,-10.0,49.2,48.6,72.0,4.3,14.2301,-7.5,0.81,851326.SI,家纺,0.4,2020-03-31,2020-04-28,0.68,0.58,,,
773,002328.SZ,61.2,-23.66,46.9,78.2,47.1,2.0,4.2676,-36.4,0.86,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-28,,-0.7,,,
774,002329.SZ,30.9,-520.63,6.3,87.8,0.7,79.2,2.2569,-15.3,1.92,851243.SI,乳品,47.6,2020-03-31,2020-04-28,0.0,4.1,,,
775,002330.SZ,57.8,33.33,38.4,72.6,82.4,34.1,0.6016,-38.4,0.93,851241.SI,肉制品,41.4,2020-03-31,2020-04-30,,-2.8,,,
776,002331.SZ,70.6,-186.96,70.2,70.7,18.5,37.5,8.0306,-18.7,0.34,852226.SI,IT服务,70.5,2020-03-31,2020-04-28,,-2.14,,,
777,002332.SZ,98.3,16.67,80.6,97.8,75.0,9.0,14.7265,-10.5,0.72,851512.SI,化学制剂,92.1,2020-03-31,2020-04-25,1.22,0.78,,,
778,002333.SZ,19.2,-139.13,15.4,37.8,48.4,75.0,3.7915,-18.2,0.85,850614.SI,其他建材,35.2,2020-03-31,2020-04-25,,0.0,,,
779,002334.SZ,13.5,-83.14,40.7,11.9,18.7,59.8,-17.3964,-40.8,2.05,857322.SI,工控自动化,61.7,2020-03-31,2020-04-24,0.0,3.26,,,
780,002335.SZ,88.6,-8.33,89.1,70.3,65.3,61.7,6.4035,-22.4,0.86,857335.SI,储能设备,75.3,2020-03-31,2020-04-30,0.0,0.0,,,
781,002336.SZ,33.8,-32.14,7.7,59.7,39.5,94.9,2.6576,-12.2,1.08,852032.SI,超市,69.2,2020-03-31,2020-04-27,,-3.44,,,
782,002337.SZ,59.0,50.0,62.7,23.7,78.5,79.4,0.8949,-27.5,1.06,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-29,,-1.22,续亏,-43.6595,4.2841
783,002338.SZ,82.0,25.0,40.3,95.9,80.3,8.4,5.798,-17.2,0.84,850731.SI,仪器仪表,66.1,2020-03-31,2020-04-24,,-5.92,,,
784,002339.SZ,30.1,-33.33,30.2,37.8,51.7,86.8,2.8798,-30.7,1.28,857321.SI,电网自动化,60.8,2020-03-31,2020-04-25,0.0,-2.31,,,
785,002340.SZ,82.1,-25.0,82.8,69.8,44.4,29.5,7.2219,-24.0,1.34,850521.SI,金属新材料,76.2,2020-03-31,2020-04-30,1.9,3.52,,,
786,002341.SZ,19.8,-510.59,58.3,11.9,1.7,63.3,0.1997,-46.8,0.92,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-30,0.05,-1.82,,,
787,002342.SZ,43.6,-22.34,50.6,30.0,56.0,45.9,0.7523,-23.8,1.29,850751.SI,金属制品,68.3,2020-03-31,2020-04-27,0.0,-1.02,,,
788,002343.SZ,27.5,-400.0,17.2,70.7,8.8,63.2,10.5706,-36.9,0.63,852242.SI,影视动漫,59.5,2020-03-31,2020-04-29,0.0,1.52,,,
789,002344.SZ,42.3,-37.5,26.2,39.5,55.7,18.8,3.7236,-25.0,0.69,852052.SI,专业市场,95.2,2020-03-31,2020-04-18,0.04,-2.58,,,
790,002345.SZ,13.6,-130.0,35.2,18.6,25.3,30.2,2.4264,-33.5,0.79,851434.SI,珠宝首饰,45.8,2020-03-31,2020-04-29,0.0,-0.3,,,
791,002346.SZ,48.9,-140.91,98.7,17.4,34.5,87.3,4.6531,-29.5,0.66,857342.SI,中压设备,42.7,2020-03-31,2020-04-29,,-0.91,,,
792,002347.SZ,17.1,-141.35,9.8,44.1,20.4,70.0,2.1958,-21.3,0.77,850712.SI,机械基础件,56.8,2020-03-31,2020-04-28,,0.24,首亏,-148.9194,-134.2436
793,002348.SZ,5.0,-176.17,1.9,16.2,16.7,91.6,1.2594,-43.5,0.83,851435.SI,文娱用品,73.6,2020-03-31,2020-04-30,0.0,-1.94,,,
794,002348.SZ,5.0,-176.17,1.9,16.2,16.7,91.6,-29.3065,-43.5,0.83,851435.SI,文娱用品,73.6,2020-03-31,2020-04-30,0.0,-1.94,,,
795,002349.SZ,29.9,-20.12,16.3,33.5,69.5,52.5,-19.0525,-29.9,0.99,851521.SI,中药,78.0,2020-03-31,2020-04-29,0.0,1.74,,,
796,002350.SZ,17.7,-738.36,41.4,28.3,4.7,78.0,4.6789,-20.7,0.62,857342.SI,中压设备,42.7,2020-03-31,2020-04-25,,-0.38,不确定,-239.0117,39.0117
797,002351.SZ,99.3,77.87,79.2,99.6,92.0,36.8,6.7196,-0.1,0.84,850851.SI,电子系统组装,85.9,2020-03-31,2020-04-29,0.13,-4.01,,,
798,002352.SZ,88.2,-27.59,53.2,92.4,75.1,44.6,14.6783,-1.3,1.43,851781.SI,物流,69.6,2020-03-31,2020-04-24,2.5,2.24,,,
799,002353.SZ,97.3,91.67,98.3,84.7,92.6,74.7,14.9691,-27.0,0.75,850725.SI,冶金矿采化工设备,73.1,2020-03-31,2020-04-29,6.53,-0.81,,,
800,002354.SZ,26.5,-59.2,10.6,30.0,48.6,70.5,-85.7411,-23.7,0.96,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-30,0.03,2.74,,,
801,002355.SZ,4.1,-266.67,15.9,7.1,9.9,61.1,0.3845,-40.6,0.7,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-29,0.0,-0.53,首亏,-242.5853,-147.5284
802,002355.SZ,4.1,-266.67,15.9,7.1,9.9,61.1,0.4272,-40.6,0.7,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-29,0.0,-0.53,首亏,-242.5853,-147.5284
803,002357.SZ,28.2,-29.13,68.8,25.1,33.4,39.4,7.3373,-23.3,0.72,851721.SI,公交,12.3,2020-03-31,2020-04-30,,-0.36,,,
804,002358.SZ,3.0,-93.4,20.6,2.9,21.7,38.0,0.1949,-52.3,1.32,857342.SI,中压设备,42.7,2020-03-31,2020-04-29,0.4,-2.12,,,
805,002359.SZ,1.8,-120.33,8.1,1.1,10.3,85.6,-67.5747,-69.0,2.38,851014.SI,通信配套服务,78.9,2020-03-31,2020-04-30,0.06,0.0,续亏,-80.3252,9.8374
806,002359.SZ,1.8,-120.33,8.1,1.1,10.3,85.6,-64.5273,-69.0,2.38,851014.SI,通信配套服务,78.9,2020-03-31,2020-04-30,0.06,0.0,续亏,-80.3252,9.8374
807,002360.SZ,66.2,-81.0,71.6,47.0,28.6,44.4,14.0666,-15.8,0.93,850337.SI,民爆用品,86.8,2020-03-31,2020-04-21,,-0.79,预减,-70.0,-20.0
808,002361.SZ,49.1,-39.73,41.7,61.5,34.0,26.2,6.9129,-14.4,0.82,850335.SI,涂料油漆油墨制造,54.2,2020-03-31,2020-04-30,0.03,-1.13,,,
809,002362.SZ,93.9,46.95,85.7,69.2,87.0,55.7,4.3716,-17.9,0.64,852225.SI,软件开发,91.2,2020-03-31,2020-04-24,,-1.3,,,
810,002363.SZ,62.6,0.0,42.5,78.8,51.1,5.4,2.6518,-29.2,0.67,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-28,,1.85,,,
811,002364.SZ,52.2,-300.0,30.9,81.7,7.3,46.1,3.5208,-17.4,1.05,857335.SI,储能设备,75.3,2020-03-31,2020-04-30,0.35,0.77,,,
812,002365.SZ,93.1,-26.09,77.0,70.3,80.4,51.3,5.6334,-3.5,0.86,851511.SI,化学原料药,93.4,2020-03-31,2020-04-28,0.0,0.0,,,
813,002366.SZ,4.6,-158.33,17.1,1.5,14.3,85.2,-24.2078,-58.9,0.72,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-29,1.16,-1.17,,,
814,002367.SZ,77.1,-80.22,99.1,76.9,25.8,82.8,8.2474,-13.8,1.19,850728.SI,楼宇设备,13.2,2020-03-31,2020-04-22,0.36,-3.04,,,
815,002368.SZ,72.3,-29.31,46.7,82.9,50.2,6.9,11.0129,-21.5,1.01,852226.SI,IT服务,70.5,2020-03-31,2020-04-30,1.19,0.79,,,
816,002369.SZ,30.1,-500.0,13.4,66.6,4.3,74.0,2.5295,-32.0,1.18,850851.SI,电子系统组装,85.9,2020-03-31,2020-04-30,,-1.91,,,
817,002370.SZ,2.5,-145.45,6.6,0.3,20.7,75.7,-131.5365,-72.0,0.42,851512.SI,化学制剂,92.1,2020-03-31,2020-04-30,0.05,-0.63,,,
818,002371.SZ,96.9,24.14,82.8,98.2,85.5,69.4,6.5726,-8.6,1.17,850813.SI,半导体材料,57.7,2020-03-31,2020-04-25,3.28,-0.24,,,
819,002372.SZ,17.7,-37.5,59.0,16.2,50.7,8.2,26.112,-38.7,0.96,850616.SI,管材,3.5,2020-03-31,2020-04-28,1.94,-0.84,,,
820,002373.SZ,83.5,-20.0,71.2,80.7,60.0,6.4,11.9563,-25.4,0.86,852226.SI,IT服务,70.5,2020-03-31,2020-04-27,2.02,-0.48,,,
821,002374.SZ,2.8,-168.02,7.1,21.1,17.0,80.6,1.4013,-28.7,0.75,857251.SI,园林工程,12.8,2020-03-31,2020-04-28,,0.4,,,
822,002375.SZ,78.6,-33.33,55.5,93.7,42.7,8.7,5.3552,-1.7,0.73,857221.SI,装修装饰,45.4,2020-03-31,2020-04-30,1.36,0.57,,,
823,002376.SZ,41.5,-81.82,56.4,36.3,33.5,29.7,9.531,-26.1,1.12,851021.SI,计算机设备,62.1,2020-03-31,2020-04-22,0.95,-1.62,,,
824,002377.SZ,49.5,-100.96,92.4,34.9,26.1,84.4,5.8647,-28.2,0.7,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,,0.0,,,
825,002377.SZ,49.5,-100.96,92.4,34.9,26.1,84.4,5.8564,-28.2,0.7,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,,0.0,,,
826,002378.SZ,0.4,-749.35,9.2,2.5,14.1,77.4,-15.6865,-54.2,1.01,850542.SI,钨,11.5,2020-03-31,2020-04-29,0.18,-0.96,续亏,-190.0001,-139.9999
827,002379.SZ,36.5,-1132.81,99.8,23.7,2.9,97.7,22.8558,-40.7,0.87,850551.SI,铝,32.2,2020-03-31,2020-04-29,,-2.9,,,
828,002380.SZ,71.9,-28.57,59.7,57.6,66.8,12.3,5.9477,-14.6,1.27,852226.SI,IT服务,70.5,2020-03-31,2020-04-21,,0.36,,,
829,002381.SZ,91.5,0.0,87.8,70.7,61.3,42.7,14.259,-8.0,1.21,850362.SI,其他橡胶制品,84.6,2020-03-31,2020-04-30,,-1.52,,,
830,002382.SZ,94.7,50.0,56.8,95.7,85.7,6.3,6.0416,-10.7,0.98,851551.SI,医疗器械,94.7,2020-03-31,2020-04-30,1.7,0.07,,,
831,002383.SZ,18.1,-325.0,5.4,50.2,14.4,84.2,-29.3143,-19.8,1.16,851021.SI,计算机设备,62.1,2020-03-31,2020-04-30,0.49,-1.27,续亏,-566.5309,-445.3435
832,002383.SZ,18.1,-325.0,5.4,50.2,14.4,84.2,-31.5737,-19.8,1.16,851021.SI,计算机设备,62.1,2020-03-31,2020-04-30,0.49,-1.27,续亏,-566.5309,-445.3435
833,002384.SZ,98.0,8.33,89.8,96.0,78.8,57.8,8.237,-19.0,0.89,850822.SI,印制电路板,78.4,2020-03-31,2020-04-25,2.05,0.51,略增,25.0,40.0
834,002384.SZ,98.0,8.33,89.8,96.0,78.8,57.8,8.237,-19.0,0.89,850822.SI,印制电路板,78.4,2020-03-31,2020-04-25,2.05,0.51,略增,10.0,30.0
835,002384.SZ,98.0,8.33,89.8,96.0,78.8,57.8,8.237,-19.0,0.89,850822.SI,印制电路板,78.4,2020-03-31,2020-04-25,2.05,0.51,略增,10.0,30.0
836,002385.SZ,77.0,1200.0,35.1,88.7,98.1,78.5,5.1715,-9.5,1.69,850141.SI,饲料,40.5,2020-03-31,2020-04-25,2.17,-8.95,预增,2279.39,3171.66
837,002386.SZ,24.7,-133.33,70.7,18.6,21.1,58.6,1.5846,-29.6,0.97,850322.SI,氯碱,26.9,2020-03-31,2020-04-30,,-0.8,首亏,-158.7462,-146.997
838,002387.SZ,76.5,33.62,45.7,59.7,90.9,71.4,0.4286,-22.1,0.7,850831.SI,显示器件,95.6,2020-03-31,2020-04-30,2.05,-1.6,,,
839,002388.SZ,96.3,14.63,93.7,73.9,83.9,91.3,4.4368,-23.2,0.82,850841.SI,其他电子,93.8,2020-03-31,2020-04-28,,-2.23,,,
840,002389.SZ,81.1,0.0,78.8,73.9,65.9,33.3,3.6672,-17.3,1.25,857421.SI,航空装备,43.2,2020-03-31,2020-04-29,0.87,1.3,,,
841,002390.SZ,19.7,-125.0,13.8,37.8,25.6,60.7,4.8202,-32.6,1.31,851521.SI,中药,78.0,2020-03-31,2020-04-30,1.3,0.0,,,
842,002391.SZ,68.4,-38.0,76.5,56.4,46.1,17.8,11.0419,-32.8,1.13,850333.SI,农药,65.2,2020-03-31,2020-04-22,,-1.38,,,
843,002392.SZ,91.0,19.4,82.7,69.2,80.9,52.6,11.4823,-7.7,0.57,850615.SI,耐火材料,74.9,2020-03-31,2020-04-27,0.0,-1.0,,,
844,002393.SZ,83.1,-20.83,66.7,65.6,60.3,9.8,4.932,-9.9,0.5,851512.SI,化学制剂,92.1,2020-03-31,2020-04-28,0.01,1.05,,,
845,002394.SZ,40.3,56.5,40.5,44.1,44.0,14.2,11.8946,-10.9,0.44,851312.SI,棉纺,48.9,2020-03-31,2020-04-23,,0.0,,,
846,002395.SZ,25.5,-2.78,59.8,23.7,12.5,36.1,3.5414,-12.0,0.66,850351.SI,其他塑料制品,32.6,2020-03-31,2020-04-27,,-2.56,,,
847,002396.SZ,83.5,-768.87,68.2,89.8,44.7,69.1,15.4667,-30.8,0.88,851014.SI,通信配套服务,78.9,2020-03-31,2020-04-29,3.86,-1.46,,,
848,002397.SZ,35.9,-45.95,44.4,73.9,40.0,20.8,4.3702,-38.2,1.51,851326.SI,家纺,0.4,2020-03-31,2020-04-30,,1.63,,,
849,002398.SZ,83.3,-38.46,77.6,93.3,42.7,28.1,15.1605,-11.4,1.13,850614.SI,其他建材,35.2,2020-03-31,2020-04-25,,-1.89,略增,0.0,30.0
850,002399.SZ,97.6,-49.64,88.9,73.9,99.5,91.4,15.7936,-11.2,0.99,851511.SI,化学原料药,93.4,2020-03-31,2020-04-30,1.0,0.61,,,
851,002400.SZ,88.1,-50.0,63.9,99.1,38.5,43.2,2.8239,-18.2,0.9,852243.SI,营销服务,88.1,2020-03-31,2020-04-30,0.0,-4.02,预减,-66.5,-52.13
852,002401.SZ,86.7,218.9,63.7,83.8,64.2,37.9,10.5696,-4.3,0.51,852226.SI,IT服务,70.5,2020-03-31,2020-04-28,,-1.0,预增,100.0,150.0
853,002402.SZ,96.0,-1.96,79.2,92.6,59.9,8.4,16.4661,-17.5,0.65,850852.SI,电子零部件制造,100.0,2020-03-31,2020-04-28,4.32,-1.64,,,
854,002403.SZ,23.8,-171.43,30.7,44.1,19.0,32.4,5.855,-20.2,0.7,851114.SI,小家电,44.1,2020-03-31,2020-04-29,,0.39,,,
855,002403.SZ,23.8,-171.43,30.7,44.1,19.0,32.4,5.896,-20.2,0.7,851114.SI,小家电,44.1,2020-03-31,2020-04-29,,0.39,,,
856,002404.SZ,76.0,-28.57,58.0,71.2,53.2,14.3,8.9572,-2.9,0.91,851313.SI,丝绸,64.8,2020-03-31,2020-04-30,,2.42,,,
857,002405.SZ,65.3,-270.45,74.0,57.6,13.9,48.1,4.5222,-34.8,1.45,852225.SI,软件开发,91.2,2020-03-31,2020-04-28,1.64,-0.06,首亏,-380.216,-310.1621
858,002406.SZ,78.2,-25.0,77.7,63.5,46.9,14.1,10.2236,-7.0,0.53,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-30,,-0.93,,,
859,002407.SZ,10.1,-97.23,8.1,36.3,19.0,79.2,-13.0463,-33.5,0.73,850382.SI,氟化工及制冷剂,50.7,2020-03-31,2020-04-27,0.36,-1.99,预减,-79.47,-69.78
860,002408.SZ,38.1,5.61,60.3,18.6,51.9,57.1,8.3566,-26.3,0.86,850372.SI,聚氨酯,62.6,2020-03-31,2020-04-30,0.81,-0.32,,,
861,002409.SZ,98.2,181.28,90.4,99.0,88.2,45.6,6.8116,-11.5,0.88,850813.SI,半导体材料,57.7,2020-03-31,2020-04-28,0.72,-0.37,预增,99.3,129.2
862,002410.SZ,87.1,-4.85,29.4,97.1,85.4,23.0,7.2759,-1.9,1.53,852225.SI,软件开发,91.2,2020-03-31,2020-04-24,11.1,7.74,,,
863,002411.SZ,7.8,-66.24,24.9,1.0,37.2,14.1,4.1657,-72.9,0.59,851512.SI,化学制剂,92.1,2020-03-31,2020-04-30,0.0,-1.47,,,
864,002412.SZ,41.6,-8.14,70.3,5.0,74.2,4.5,11.2243,-47.7,0.4,851521.SI,中药,78.0,2020-03-31,2020-04-28,,-0.7,,,
865,002413.SZ,73.5,100.0,53.9,75.0,89.1,31.3,3.6375,-27.0,0.89,857421.SI,航空装备,43.2,2020-03-31,2020-04-30,0.18,-1.64,,,
866,002414.SZ,98.8,2551.56,85.7,87.2,99.7,89.9,6.3925,-18.5,0.78,850841.SI,其他电子,93.8,2020-03-31,2020-04-28,1.67,0.42,预增,80.0,110.0
867,002415.SZ,83.7,-2.98,64.4,73.2,72.0,4.4,30.0981,-23.2,0.89,850851.SI,电子系统组装,85.9,2020-03-31,2020-04-25,5.98,0.77,,,
868,002416.SZ,94.9,37.76,95.0,81.4,74.2,57.5,6.9597,-19.7,0.85,852041.SI,专业连锁,68.7,2020-03-31,2020-04-28,0.96,-2.3,,,
869,002417.SZ,44.6,0.0,12.4,57.6,97.9,75.4,3.1417,-44.0,1.0,852226.SI,IT服务,70.5,2020-03-31,2020-04-21,,0.75,,,
870,002418.SZ,9.2,44.68,10.7,1.2,64.4,85.8,-61.7189,-62.5,1.1,851115.SI,家电零部件,93.0,2020-03-31,2020-04-29,0.0,1.3,续亏,53.3168,68.8779
871,002419.SZ,44.6,-116.0,65.4,19.9,23.7,30.5,12.7143,-26.4,1.31,852031.SI,百货,96.5,2020-03-31,2020-04-30,1.13,1.64,,,
872,002420.SZ,56.8,63.04,2.7,75.9,99.9,90.4,30.8501,-12.4,1.32,851121.SI,彩电,59.0,2020-03-31,2020-04-30,,-1.55,预增,79.01,168.52
873,002421.SZ,54.2,15.69,15.6,61.5,86.1,43.6,-11.3733,-14.3,1.07,852226.SI,IT服务,70.5,2020-03-31,2020-04-30,0.42,-1.99,,,
874,002422.SZ,46.4,-91.3,68.8,21.1,34.9,46.5,7.2277,-36.9,1.64,851512.SI,化学制剂,92.1,2020-03-31,2020-04-28,3.21,-1.76,预减,-100.0,-50.0
875,002423.SZ,17.6,-39.08,0.8,44.1,37.8,95.8,7.3323,-25.3,1.05,851921.SI,多元金融,63.4,2020-03-31,2020-04-29,0.2,-0.81,,,
876,002424.SZ,31.6,-45.45,31.9,21.1,64.7,13.2,7.3483,-24.5,0.6,851521.SI,中药,78.0,2020-03-31,2020-04-30,0.37,-1.08,,,
877,002425.SZ,93.7,-28.57,59.0,98.1,62.3,38.1,5.2379,-5.4,1.71,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-29,0.01,-2.58,,,
878,002426.SZ,7.1,107.66,10.3,4.6,66.2,54.5,-53.7336,-51.6,0.73,850712.SI,机械基础件,56.8,2020-03-31,2020-04-29,0.1,-0.67,,,
879,002427.SZ,1.1,-1700.0,16.6,1.3,0.8,85.1,7.8745,-54.8,0.94,850341.SI,涤纶,37.0,2020-03-31,2020-04-23,0.02,1.08,,,
880,002428.SZ,64.8,100.0,7.5,78.8,90.8,76.6,-4.0483,-21.3,0.86,850544.SI,其他稀有小金属,89.9,2020-03-31,2020-04-24,0.51,-2.28,,,
881,002429.SZ,93.2,5.95,85.8,92.2,77.0,34.0,12.2874,-27.0,1.05,851121.SI,彩电,59.0,2020-03-31,2020-04-18,0.48,-1.36,,,
882,002430.SZ,90.2,-22.22,91.6,65.6,55.6,61.6,11.4595,-11.9,1.19,850727.SI,其它专用机械,88.5,2020-03-31,2020-04-30,1.83,0.8,,,
883,002431.SZ,3.4,-36.36,3.1,21.1,32.4,94.1,-19.3964,-26.0,0.85,857251.SI,园林工程,12.8,2020-03-31,2020-04-30,0.02,1.0,,,
884,002432.SZ,79.7,230.39,11.3,95.2,96.0,77.5,3.9581,-13.9,0.85,851551.SI,医疗器械,94.7,2020-03-31,2020-04-29,0.02,4.11,扭亏,401.6726,502.2301
885,002433.SZ,31.0,-60.0,27.4,39.5,26.0,25.6,1.8448,-16.4,0.49,851521.SI,中药,78.0,2020-03-31,2020-04-30,0.0,-0.23,,,
886,002434.SZ,78.8,0.0,54.9,79.2,75.7,51.0,6.581,-18.5,0.8,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-29,0.48,-0.92,,,
887,002435.SZ,16.9,-11.16,18.3,2.9,78.8,45.0,-7.2348,-50.1,0.62,851512.SI,化学制剂,92.1,2020-03-31,2020-04-30,0.0,0.27,,,
888,002436.SZ,87.5,50.0,64.5,92.0,70.5,29.1,10.8628,-31.8,1.1,850822.SI,印制电路板,78.4,2020-03-31,2020-04-28,0.83,-2.25,,,
889,002437.SZ,11.1,670.18,2.9,18.6,27.3,89.3,-91.0728,-31.1,0.49,851512.SI,化学制剂,92.1,2020-03-31,2020-04-28,0.36,0.63,预增,171.22,192.75
890,002438.SZ,82.4,-18.73,83.2,66.6,57.4,40.4,9.1178,-11.0,0.53,850712.SI,机械基础件,56.8,2020-03-31,2020-04-24,,-1.08,,,
891,002439.SZ,90.5,-93.33,78.9,88.1,35.8,59.4,17.3067,-12.5,1.3,852225.SI,软件开发,91.2,2020-03-31,2020-04-30,14.2,2.49,,,
892,002440.SZ,31.2,-13.04,73.8,18.6,30.9,33.6,16.3662,-32.5,0.86,850338.SI,纺织化学用品,38.8,2020-03-31,2020-04-29,1.6,-0.44,,,
893,002441.SZ,66.4,-5.88,61.7,57.6,50.4,28.3,5.9448,-21.9,0.82,857343.SI,低压设备,70.9,2020-03-31,2020-04-30,,-0.75,,,
894,002442.SZ,44.3,-21.21,82.9,19.9,78.2,64.9,1.5356,-44.2,1.09,850363.SI,炭黑,23.8,2020-03-31,2020-04-28,,-0.99,,,
895,002443.SZ,76.1,0.0,88.7,48.6,79.6,50.2,11.7074,-17.5,1.15,850412.SI,特钢,37.4,2020-03-31,2020-04-25,0.0,0.6,预增,230.0,280.0
896,002444.SZ,81.2,21.43,60.5,75.9,74.3,6.7,12.7176,-13.3,0.57,850716.SI,其它通用机械,63.9,2020-03-31,2020-04-30,1.79,-2.0,略增,20.0,30.0
897,002445.SZ,21.8,-50.0,12.1,44.1,24.5,74.4,-151.4957,-13.4,0.82,852242.SI,影视动漫,59.5,2020-03-31,2020-04-29,0.0,0.6,,,
898,002446.SZ,6.6,-87.5,9.6,14.0,29.7,63.7,-26.8927,-34.7,0.81,851013.SI,通信传输设备,54.6,2020-03-31,2020-04-30,0.34,-1.68,预减,-74.25,-63.95
899,002447.SZ,7.0,-89.29,13.3,5.5,22.9,64.5,-92.2366,-57.9,0.99,852222.SI,移动互联网服务,97.4,2020-03-31,2020-04-30,0.0,-4.71,,,
900,002448.SZ,36.6,-25.0,29.8,42.6,55.2,17.0,3.2976,-18.9,0.71,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-28,0.0,-0.39,,,
901,002449.SZ,57.3,-61.47,77.2,50.2,30.3,30.5,11.4693,-28.2,0.87,850832.SI,LED,48.5,2020-03-31,2020-04-22,1.09,-0.75,,,
902,002451.SZ,26.0,-115.38,97.7,12.9,7.4,72.7,5.378,-41.9,0.59,857344.SI,线缆部件及其他,15.0,2020-03-31,2020-04-22,,-0.14,,,
903,002452.SZ,53.1,542.86,13.5,86.8,98.0,73.5,12.2409,-20.5,0.84,857341.SI,高压设备,14.5,2020-03-31,2020-04-29,,-0.16,,,
904,002453.SZ,8.6,-300.0,5.3,26.6,7.1,88.3,-42.0405,-34.5,0.42,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-29,,-0.63,,,
905,002454.SZ,32.2,-100.0,40.8,41.1,25.6,42.6,5.2439,-23.8,0.67,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-28,,-0.43,,,
906,002455.SZ,19.0,-160.0,36.9,17.4,15.4,40.7,4.8479,-32.5,1.09,850339.SI,其他化学制品,79.3,2020-03-31,2020-04-29,,-1.47,,,
907,002456.SZ,93.1,154.88,61.4,96.0,89.3,53.0,5.6497,-26.6,0.66,850833.SI,光学元件,87.2,2020-03-31,2020-04-28,2.4,-1.5,,,
908,002457.SZ,42.4,-2897.3,93.6,37.8,6.7,98.0,8.216,-15.6,1.96,850616.SI,管材,3.5,2020-03-31,2020-04-29,,1.99,,,
909,002458.SZ,59.6,-48.72,96.5,28.3,46.9,94.1,83.7598,-28.3,1.14,850171.SI,畜禽养殖,46.7,2020-03-31,2020-04-30,0.73,-2.4,,,
910,002459.SZ,70.9,134.07,43.9,79.6,96.1,68.8,27.038,-17.9,1.99,850722.SI,工程机械,27.8,2020-03-31,2020-04-28,0.03,3.79,,,
911,002460.SZ,95.3,-95.45,80.7,96.8,39.6,53.9,4.3992,-13.4,0.65,850543.SI,锂,98.7,2020-03-31,2020-04-30,3.69,0.09,预减,-53.0,-32.0
