,股票代码,综合排名,最新季报增长率,EPS,股价强度,SMR,收益额增长稳定性,ROE,年度新高,量比变化,,行业板块,行业板块强度,季报日期,公告日,港股持股比例,当日涨幅,最新业绩预告,预告下限,预告上线
,code,cumulative_rank,new_quarter_eps,eps,rps,smr,eps_stability,roe,decline_range,volume_ratio,index_code,industry_name,industry_rps,period_date,ann_date,hk_hold,pct_chg,forecast,p_change_min,p_change_max
22,000028.SZ,72.6,-17.14,44.7,69.8,56.8,4.1,10.4098,-15.6,0.93,851541.SI,医药商业,89.4,2020-03-31,2020-04-25,3.11,2.44,,,
23,000030.SZ,72.9,-39.38,55.8,78.8,43.0,10.8,13.6651,-12.0,0.82,850921.SI,汽车零部件,60.4,2020-03-31,2020-04-23,0.28,-0.16,,,
24,000031.SZ,31.9,-86.67,75.5,23.7,34.6,64.2,17.4427,-37.1,0.82,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,0.77,-1.75,,,
25,000032.SZ,93.0,-34.74,84.1,94.7,37.9,41.5,9.4477,-11.2,0.91,851012.SI,终端设备,80.2,2020-03-31,2020-04-24,0.04,0.75,,,
26,000034.SZ,84.6,-12.92,70.5,91.7,48.9,81.2,17.0793,-29.1,1.0,852226.SI,IT服务,70.5,2020-03-31,2020-04-30,2.35,-1.1,,,
27,000035.SZ,71.9,11.43,72.8,63.5,85.7,29.5,10.1552,-27.4,1.71,851641.SI,环保工程及服务,26.4,2020-03-31,2020-04-30,0.44,1.41,,,
28,000036.SZ,11.8,-12.5,25.5,4.6,89.8,86.9,16.7486,-43.8,0.59,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,2.14,-0.23,,,
29,000037.SZ,32.0,60.0,25.0,48.6,81.2,83.6,1.2511,-21.4,1.24,851613.SI,燃机发电,18.7,2020-03-31,2020-04-21,,-0.75,,,
30,000038.SZ,69.5,345.05,9.5,89.4,93.9,85.0,4.5422,-32.2,1.43,852243.SI,营销服务,88.1,2020-03-31,2020-04-23,,2.99,,,
31,000039.SZ,35.3,-294.46,95.1,5.0,13.5,70.2,4.0278,-45.3,1.09,850751.SI,金属制品,68.3,2020-03-31,2020-04-30,0.74,-0.54,,,
32,000040.SZ,1.4,-388.0,16.0,1.6,26.2,91.8,-6.8526,-59.2,0.66,851615.SI,新能源发电,28.6,2020-03-31,2020-04-30,0.13,-1.36,,,
33,000040.SZ,1.4,-388.0,16.0,1.6,26.2,91.8,-6.858,-59.2,0.66,851615.SI,新能源发电,28.6,2020-03-31,2020-04-30,0.13,-1.36,,,
34,000042.SZ,62.8,-132.28,86.4,56.4,21.8,74.6,10.6159,-10.6,0.72,851811.SI,房地产开发,29.1,2020-03-31,2020-04-28,0.1,0.2,,,
35,000045.SZ,81.1,-156.16,88.6,64.6,13.9,75.1,0.7716,-18.7,1.4,850831.SI,显示器件,95.6,2020-03-31,2020-04-30,0.0,3.23,,,
36,000046.SZ,3.9,-105.78,26.1,7.7,16.5,47.4,5.2648,-40.5,0.75,851811.SI,房地产开发,29.1,2020-03-31,2020-04-30,1.25,0.26,,,
37,000048.SZ,31.8,-46.42,3.4,76.4,39.2,92.6,69.8918,-14.4,0.5,850141.SI,饲料,40.5,2020-03-31,2020-04-30,,0.85,,,
38,000049.SZ,91.1,-31.05,71.2,95.4,40.7,16.9,25.4357,-7.4,2.54,850851.SI,电子系统组装,85.9,2020-03-31,2020-04-30,2.92,-8.26,,,
39,000050.SZ,75.1,4.1,40.7,65.6,83.8,37.2,3.1468,-21.4,0.83,850831.SI,显示器件,95.6,2020-03-31,2020-04-25,1.22,-0.13,,,
40,000055.SZ,48.5,33.33,70.8,31.7,69.1,63.8,6.7021,-20.1,0.68,857244.SI,其他专业工程,24.7,2020-03-31,2020-04-18,0.0,0.0,,,
41,000056.SZ,11.7,-92.5,35.2,26.6,30.6,42.8,0.9362,-48.6,0.62,851811.SI,房地产开发,29.1,2020-03-31,2020-04-29,,-1.12,,,
42,000058.SZ,73.5,-119.55,73.2,74.5,14.4,47.7,4.1647,-42.1,0.96,852052.SI,专业市场,95.2,2020-03-31,2020-04-28,0.21,0.0,,,
43,000059.SZ,3.7,-335.23,26.8,14.0,9.2,61.3,7.4147,-29.8,0.94,850311.SI,石油加工,9.3,2020-03-31,2020-04-14,0.77,-1.3,,,
44,000060.SZ,59.3,-42.86,84.1,22.4,73.1,79.7,8.0164,-23.1,0.96,850553.SI,铅锌,50.2,2020-03-31,2020-04-30,1.1,-1.58,,,
45,000061.SZ,97.1,-5.67,97.6,81.4,72.7,88.9,6.1282,-24.5,0.95,852052.SI,专业市场,95.2,2020-03-31,2020-04-29,0.66,-3.32,,,
46,000062.SZ,80.7,-4.34,63.7,61.5,64.8,24.4,12.7726,-14.0,0.76,850841.SI,其他电子,93.8,2020-03-31,2020-04-28,0.54,0.49,,,
47,000063.SZ,88.3,-14.29,88.2,79.2,75.4,71.6,19.905,-29.8,1.2,851013.SI,通信传输设备,54.6,2020-03-31,2020-04-25,1.7,-5.59,,,
48,000065.SZ,35.2,42.0,58.7,31.7,73.6,17.3,15.398,-24.8,0.72,857243.SI,国际工程承包,7.0,2020-03-31,2020-04-20,0.53,-1.2,,,
49,000066.SZ,76.8,-605.26,83.2,83.8,5.5,67.1,15.3409,-25.5,1.09,851021.SI,计算机设备,62.1,2020-03-31,2020-04-30,1.48,-1.87,,,
50,000068.SZ,12.4,7.39,17.6,22.4,75.5,67.8,1.1408,-43.3,0.96,851641.SI,环保工程及服务,26.4,2020-03-31,2020-04-28,0.0,-1.2,,,
51,000069.SZ,49.1,-29.98,67.9,34.9,65.1,11.2,19.3176,-19.6,0.83,851811.SI,房地产开发,29.1,2020-03-31,2020-04-28,2.39,1.0,,,
