000880.SZ,9.5
000881.SZ,10.26
000882.SZ,2.82
000883.SZ,4.5
000885.SZ,13.0
000886.SZ,5.42
000887.SZ,11.34
000888.SZ,7.02
000889.SZ,14.74
000890.SZ,7.79
000892.SZ,7.81
000893.SZ,8.69
000895.SZ,44.1
000897.SZ,2.75
000898.SZ,5.28
000899.SZ,5.54
000900.SZ,5.01
000901.SZ,13.48
000902.SZ,11.8
000903.SZ,6.66
000905.SZ,8.58
000906.SZ,7.12
000908.SZ,6.7
000909.SZ,11.32
000910.SZ,15.29
000911.SZ,8.4
000912.SZ,7.21
000913.SZ,13.1
000915.SZ,32.92
000917.SZ,8.07
000918.SZ,8.39
000919.SZ,9.25
000920.SZ,8.46
000921.SZ,13.87
000922.SZ,11.61
000923.SZ,19.93
000925.SZ,9.72
000926.SZ,7.35
000927.SZ,6.41
000928.SZ,6.29
000929.SZ,8.91
000930.SZ,9.1
000931.SZ,10.97
000932.SZ,7.32
000933.SZ,5.61
000935.SZ,17.74
000936.SZ,12.38
000937.SZ,4.18
000938.SZ,52.2
000948.SZ,14.15
000949.SZ,5.41
000950.SZ,6.97
000951.SZ,26.64
000952.SZ,12.1
000953.SZ,6.86
000955.SZ,14.95
000957.SZ,10.19
000958.SZ,7.39
000959.SZ,3.9
000960.SZ,12.07
000961.SZ,11.04
000962.SZ,9.69
000963.SZ,37.96
000965.SZ,4.71
000966.SZ,5.99
000967.SZ,8.57
000968.SZ,13.15
000969.SZ,9.7
000970.SZ,14.5
000971.SZ,3.6
000972.SZ,3.94
000973.SZ,6.79
000975.SZ,17.66
000976.SZ,6.22
000977.SZ,50.26
000978.SZ,6.24
000980.SZ,5.33
000981.SZ,3.13
000982.SZ,2.34
000983.SZ,6.73
000985.SZ,17.22
000987.SZ,12.95
000988.SZ,25.96
000989.SZ,10.75
000990.SZ,22.42
000993.SZ,9.99
000996.SZ,15.78
000997.SZ,21.98
000998.SZ,21.26
000999.SZ,39.45
001696.SZ,7.53
001872.SZ,19.26
001896.SZ,5.0
001914.SZ,34.0
001965.SZ,8.97
001979.SZ,22.48
002001.SZ,28.98
002002.SZ,6.78
002003.SZ,7.59
002004.SZ,5.72
002005.SZ,2.16
002006.SZ,7.17
002007.SZ,51.98
002008.SZ,45.92
002009.SZ,10.35
002010.SZ,8.5
002011.SZ,5.59
002012.SZ,7.54
002013.SZ,8.9
002014.SZ,10.66
002015.SZ,7.75
002016.SZ,9.46
002017.SZ,20.19
002018.SZ,1.29
002019.SZ,21.94
002020.SZ,14.12
002021.SZ,2.81
002022.SZ,19.17
002023.SZ,21.0
002024.SZ,12.16
002025.SZ,30.3
002026.SZ,6.27
002027.SZ,7.02
002028.SZ,22.48
002029.SZ,6.98
002030.SZ,28.8
002031.SZ,2.48
002032.SZ,81.6
002033.SZ,6.71
002034.SZ,19.21
