,ts_code,close_x,close_y,RPS
276,000753.SZ,3.52,2.7,38.5
277,000755.SZ,4.75,3.7,40.5
278,000756.SZ,7.53,10.99,93.0
279,000757.SZ,5.5,4.59,50.0
280,000758.SZ,4.62,4.44,68.6
281,000759.SZ,6.59,6.68,73.7
282,000760.SZ,3.07,1.39,3.4
283,000761.SZ,4.18,3.44,48.0
284,000762.SZ,8.23,7.05,55.3
285,000766.SZ,8.67,5.52,16.7
286,000767.SZ,2.86,2.11,32.2
287,000768.SZ,16.5,15.66,67.5
288,000776.SZ,15.2,13.7,61.2
289,000777.SZ,14.19,11.22,42.5
290,000778.SZ,4.98,3.43,23.7
291,000779.SZ,12.98,9.66,32.2
292,000780.SZ,3.57,2.36,19.5
293,000782.SZ,5.19,3.49,20.9
294,000783.SZ,7.03,6.29,59.7
295,000785.SZ,10.64,8.19,38.5
296,000786.SZ,19.38,24.58,88.2
297,000788.SZ,7.99,6.16,38.5
298,000789.SZ,14.75,11.91,46.1
299,000790.SZ,5.45,5.2,67.5
300,000791.SZ,6.34,3.25,5.6
301,000792.SZ,6.63,9.38,91.8
302,000793.SZ,4.46,3.22,28.5
303,000795.SZ,4.92,5.12,76.5
304,000796.SZ,8.14,6.74,50.0
305,000797.SZ,5.58,3.36,12.4
306,000798.SZ,6.76,6.21,63.9
307,000799.SZ,24.46,28.16,83.9
308,000801.SZ,6.5,4.96,36.3
309,000802.SZ,12.45,9.09,30.2
310,000803.SZ,14.9,12.83,55.3
311,000807.SZ,4.7,3.82,46.1
312,000809.SZ,2.83,2.11,34.3
313,000810.SZ,11.7,11.41,71.0
314,000811.SZ,8.73,6.24,27.0
315,000812.SZ,4.63,3.0,18.0
316,000813.SZ,14.25,5.25,1.4
317,000815.SZ,8.29,6.71,46.1
318,000816.SZ,2.25,1.2,6.9
319,000818.SZ,11.72,22.59,97.7
320,000819.SZ,11.1,8.08,30.2
321,000820.SZ,6.45,1.21,0.1
322,000821.SZ,9.43,6.66,27.0
323,000822.SZ,5.69,3.69,18.0
324,000823.SZ,9.94,12.22,86.9
325,000825.SZ,4.97,3.27,19.5
326,000826.SZ,15.3,8.03,6.2
327,000828.SZ,9.35,6.89,32.2
328,000829.SZ,6.36,5.34,52.0
329,000830.SZ,14.28,8.02,8.9
330,000831.SZ,12.71,10.12,44.4
331,000833.SZ,5.58,5.3,67.5
332,000835.SZ,4.85,3.19,19.5
333,000836.SZ,4.66,3.66,42.5
334,000837.SZ,5.53,3.81,23.7
335,000838.SZ,3.88,2.77,27.0
336,000839.SZ,5.78,3.12,7.5
337,000848.SZ,8.81,6.9,40.5
338,000850.SZ,4.89,3.88,42.5
339,000851.SZ,6.76,6.0,59.7
340,000852.SZ,8.95,5.19,10.7
341,000856.SZ,18.15,8.98,4.9
342,000858.SZ,90.3,117.52,89.1
343,000859.SZ,6.45,5.1,42.5
344,000860.SZ,58.88,59.05,72.8
345,000861.SZ,2.99,2.48,50.0
346,000862.SZ,6.37,3.78,11.5
347,000863.SZ,4.93,4.16,52.0
348,000868.SZ,3.32,3.97,85.9
349,000869.SZ,30.7,23.53,38.5
350,000875.SZ,3.0,3.4,82.7
351,000876.SZ,12.72,32.66,99.4
352,000877.SZ,11.37,11.61,74.8
353,000878.SZ,9.72,9.85,73.7
354,000880.SZ,8.94,7.37,48.0
355,000881.SZ,9.02,6.91,38.5
356,000882.SZ,2.83,1.99,25.4
357,000883.SZ,4.09,3.57,56.7
358,000885.SZ,8.89,10.22,83.9
359,000886.SZ,4.59,5.01,80.3
360,000887.SZ,12.0,9.78,46.1
361,000888.SZ,7.34,6.06,50.0
362,000889.SZ,12.3,9.84,44.4
363,000890.SZ,6.17,3.62,11.5
364,000892.SZ,5.2,4.15,44.4
365,000893.SZ,6.12,6.49,78.3
366,000895.SZ,25.12,39.87,95.2
367,000897.SZ,2.4,2.33,69.9
368,000898.SZ,5.53,2.67,4.4
369,000899.SZ,5.48,4.24,38.5
370,000900.SZ,5.0,3.81,36.3
371,000901.SZ,14.25,9.94,25.4
372,000902.SZ,10.57,7.99,36.3
373,000903.SZ,3.01,4.69,94.7
374,000905.SZ,8.83,6.0,22.2
375,000906.SZ,6.0,5.17,55.3
376,000908.SZ,5.44,3.95,30.2
377,000909.SZ,8.68,8.08,65.1
378,000910.SZ,14.65,11.11,36.3
379,000911.SZ,6.97,7.14,74.8
380,000912.SZ,6.93,4.34,15.6
381,000913.SZ,11.61,10.55,62.5
382,000915.SZ,22.15,23.37,78.3
383,000917.SZ,8.7,6.59,36.3
384,000918.SZ,7.58,4.62,13.5
385,000919.SZ,7.62,7.01,63.9
386,000920.SZ,7.03,5.84,50.0
387,000921.SZ,13.38,9.22,23.7
388,000922.SZ,8.75,7.21,48.0
389,000923.SZ,16.43,11.78,28.5
390,000925.SZ,7.85,8.3,78.3
391,000926.SZ,7.5,5.16,23.7
392,000927.SZ,4.15,4.24,74.8
393,000928.SZ,5.9,4.09,23.7
394,000929.SZ,7.79,6.53,52.0
395,000930.SZ,8.24,7.36,59.7
396,000931.SZ,8.9,8.78,71.9
397,000932.SZ,7.43,3.92,6.9
398,000933.SZ,4.74,4.09,55.3
399,000935.SZ,18.39,13.31,28.5
400,000936.SZ,10.51,9.7,63.9
401,000937.SZ,4.19,3.03,28.5
402,000938.SZ,41.54,36.59,58.2
403,000948.SZ,16.35,10.94,20.9
404,000949.SZ,3.28,3.54,79.6
405,000950.SZ,6.2,5.17,50.0
406,000951.SZ,17.88,21.91,86.9
407,000952.SZ,11.15,10.94,71.0
408,000953.SZ,4.33,6.15,92.1
409,000955.SZ,5.7,8.98,95.0
410,000957.SZ,7.31,7.09,69.9
411,000959.SZ,4.3,2.94,22.2
412,000960.SZ,11.56,8.37,28.5
413,000961.SZ,8.88,7.81,58.2
414,000962.SZ,8.0,6.11,36.3
415,000963.SZ,31.67,18.1,9.7
416,000965.SZ,4.73,3.04,16.7
417,000966.SZ,4.05,3.89,68.6
418,000967.SZ,6.8,5.72,52.0
419,000968.SZ,12.51,8.63,23.7
420,000969.SZ,6.61,6.08,63.9
421,000970.SZ,9.46,9.19,69.9
422,000971.SZ,4.64,2.08,3.4
423,000972.SZ,3.42,3.11,62.5
424,000973.SZ,4.82,4.59,67.5
425,000975.SZ,10.9,14.68,90.6
426,000976.SZ,5.38,4.7,56.7
427,000977.SZ,23.78,38.89,95.8
428,000978.SZ,6.69,4.57,22.2
429,000980.SZ,5.12,2.35,3.8
430,000981.SZ,4.17,1.31,0.7
431,000982.SZ,1.5,1.33,59.7
432,000983.SZ,6.0,4.81,44.4
433,000985.SZ,14.88,13.36,61.2
434,000987.SZ,10.34,9.14,58.2
435,000988.SZ,15.59,19.66,87.9
436,000989.SZ,12.63,7.95,15.6
437,000990.SZ,27.32,12.11,3.0
438,000993.SZ,7.96,6.18,40.5
439,000996.SZ,13.57,8.2,12.4
440,000997.SZ,17.12,15.91,65.1
441,000998.SZ,15.89,16.96,79.0
442,000999.SZ,28.0,28.33,73.7
443,001696.SZ,6.58,5.43,50.0
444,001872.SZ,18.2,13.99,38.5
445,001896.SZ,3.74,3.24,56.7
446,001914.SZ,8.54,24.5,99.6
447,001965.SZ,8.81,6.94,42.5
448,001979.SZ,22.3,16.45,32.2
449,002001.SZ,18.11,27.08,93.7
450,002002.SZ,5.26,3.89,32.2
451,002003.SZ,7.56,5.64,34.3
452,002004.SZ,5.66,4.8,53.8
453,002005.SZ,2.66,1.61,13.5
454,002006.SZ,5.9,4.36,32.2
455,002007.SZ,43.97,49.07,82.1
456,002008.SZ,40.51,29.16,28.5
457,002009.SZ,10.59,7.57,27.0
458,002010.SZ,8.26,6.12,32.2
459,002011.SZ,5.54,4.41,44.4
460,002012.SZ,4.87,5.8,85.6
461,002013.SZ,7.71,7.62,71.9
462,002014.SZ,7.75,9.09,84.9
463,002015.SZ,5.9,5.96,73.7
464,002016.SZ,10.26,6.9,20.9
465,002017.SZ,16.96,11.86,25.4
466,002019.SZ,12.83,16.35,88.2
467,002020.SZ,10.88,10.6,69.9
468,002021.SZ,3.16,2.1,19.5
469,002022.SZ,11.27,14.79,89.6
470,002023.SZ,12.47,15.13,86.3
471,002024.SZ,12.05,8.88,32.2
472,002025.SZ,26.73,24.17,61.2
473,002026.SZ,6.56,4.92,34.3
474,002027.SZ,6.31,4.16,19.5
475,002028.SZ,12.08,18.14,93.7
476,002029.SZ,7.32,5.18,27.0
477,002030.SZ,13.28,18.35,91.2
478,002031.SZ,2.54,1.89,32.2
479,002032.SZ,69.0,70.76,75.7
480,002033.SZ,6.85,5.84,53.8
481,002034.SZ,17.25,13.16,36.3
482,002035.SZ,13.57,11.12,48.0
483,002036.SZ,12.93,13.95,79.6
484,002037.SZ,10.16,6.89,22.2
485,002038.SZ,26.42,11.93,3.4
486,002039.SZ,14.1,13.57,68.6
487,002040.SZ,11.93,6.09,5.6
488,002041.SZ,6.23,10.93,96.8
489,002042.SZ,7.75,5.23,20.9
490,002043.SZ,6.8,7.7,82.7
491,002044.SZ,17.94,12.06,20.9
492,002045.SZ,6.15,8.89,92.8
493,002046.SZ,8.6,5.83,22.2
494,002047.SZ,6.9,4.78,23.7
495,002048.SZ,12.45,17.12,91.2
496,002049.SZ,40.94,58.75,92.5
497,002050.SZ,15.31,17.22,82.1
498,002051.SZ,14.58,8.54,11.5
499,002052.SZ,4.56,2.5,8.2
500,002053.SZ,8.83,6.71,36.3
501,002054.SZ,6.96,6.58,67.5
502,002055.SZ,13.88,12.47,61.2
503,002056.SZ,6.82,10.18,93.5
504,002057.SZ,7.54,6.96,63.9
505,002058.SZ,13.25,16.48,87.2
506,002059.SZ,6.93,4.43,16.7
507,002060.SZ,3.39,3.0,58.2
508,002061.SZ,8.53,5.04,11.5
509,002062.SZ,4.37,4.59,77.4
510,002063.SZ,10.15,12.74,87.9
511,002065.SZ,8.52,12.43,93.0
512,002066.SZ,8.95,8.19,63.9
513,002067.SZ,4.1,3.05,32.2
514,002068.SZ,6.55,3.69,8.9
515,002069.SZ,4.51,2.95,18.0
516,002071.SZ,5.19,2.18,2.4
517,002072.SZ,6.01,4.83,44.4
518,002073.SZ,6.01,4.06,22.2
519,002074.SZ,17.33,17.84,75.7
520,002075.SZ,9.76,10.07,75.7
521,002076.SZ,3.83,2.49,18.0
522,002077.SZ,7.43,6.06,48.0
523,002078.SZ,6.86,8.75,88.5
524,002079.SZ,7.62,10.13,90.2
525,002080.SZ,13.83,11.34,48.0
526,002081.SZ,11.6,8.03,23.7
527,002082.SZ,9.98,10.1,73.7
528,002083.SZ,6.35,7.44,84.9
529,002084.SZ,4.95,4.82,69.9
530,002085.SZ,7.9,6.66,52.0
531,002086.SZ,5.28,2.46,4.1
532,002087.SZ,4.43,4.27,68.6
533,002088.SZ,11.19,9.6,55.3
534,002089.SZ,5.29,2.88,7.5
535,002090.SZ,21.46,8.65,2.0
536,002091.SZ,6.53,5.9,61.2
537,002092.SZ,8.85,4.84,8.2
538,002093.SZ,9.25,10.25,81.5
539,002094.SZ,5.95,4.32,30.2
540,002095.SZ,27.41,18.77,22.2
541,002096.SZ,6.87,5.78,52.0
542,002097.SZ,6.79,5.64,50.0
543,002098.SZ,9.81,5.8,11.5
544,002099.SZ,6.55,5.96,62.5
545,002100.SZ,8.61,12.48,92.8
546,002101.SZ,8.94,7.9,58.2
