,ts_code,basic_eps_yoy
3282,000712.SZ,255.5556
3306,000715.SZ,68.1818
3307,000715.SZ,91.0498
3331,000717.SZ,-44.8485
3332,000717.SZ,-53.2339
3392,000722.SZ,50.0
3393,000722.SZ,76.4706
3453,000728.SZ,35.85
3454,000728.SZ,113.25
3526,000735.SZ,-92.269
3527,000735.SZ,-110.5761
3539,000736.SZ,-33.1126
3540,000736.SZ,-69.3069
3561,000738.SZ,8.6283
3562,000738.SZ,8.1492
3574,000739.SZ,49.3639
3575,000739.SZ,60.8696
3587,000750.SZ,500.0
3588,000750.SZ,366.67
3636,000755.SZ,208.8008
3637,000755.SZ,209.755
3649,000756.SZ,17.0732
3650,000756.SZ,22.5806
3734,000765.SZ,0.0
3735,000765.SZ,33.3333
3771,000768.SZ,1.9345
3772,000768.SZ,47.6758
3788,000776.SZ,76.79
3789,000776.SZ,37.04
3825,000779.SZ,31.2981
3826,000779.SZ,22.3077
3886,000786.SZ,-82.1233
3887,000786.SZ,-100.5155
3923,000789.SZ,20.3406
3924,000789.SZ,4.2433
3948,000791.SZ,-12.9168
3949,000791.SZ,-2.9197
3985,000795.SZ,30.0
3986,000795.SZ,35.9375
4022,000798.SZ,-60.7143
4023,000798.SZ,-79.4071
4047,000800.SZ,-74.08
4048,000800.SZ,-297.3494
4114,000807.SZ,133.9286
4115,000807.SZ,175.0
4139,000810.SZ,90.625
4140,000810.SZ,113.557
4212,000818.SZ,-12.5
4213,000818.SZ,-39.726
4226,000819.SZ,15.847
4227,000819.SZ,15.7534
4263,000822.SZ,-72.7273
4264,000822.SZ,-49.0566
4276,000823.SZ,12.3383
4277,000823.SZ,12.7509
4313,000828.SZ,1.6831
4314,000828.SZ,17.259
4338,000830.SZ,-95.8848
4339,000830.SZ,-43.0769
4364,000833.SZ,-6.1934
4365,000833.SZ,-47.1672
4413,000838.SZ,-4.5499
4414,000838.SZ,29.717
4438,000848.SZ,11.9048
4439,000848.SZ,2.7778
4487,000856.SZ,2.4631
4488,000856.SZ,-61.4509
4512,000859.SZ,-21.4286
4513,000859.SZ,-1.0902
4549,000862.SZ,-45.5511
4550,000862.SZ,-68.9784
4574,000868.SZ,104.0
4575,000868.SZ,148.6486
4599,000875.SZ,40.0
4600,000875.SZ,34375.0
4612,000876.SZ,205.0
4613,000876.SZ,117.6471
4625,000877.SZ,31.7955
4626,000877.SZ,54.2814
4638,000878.SZ,348.861
4639,000878.SZ,20.6381
4651,000880.SZ,100.0
4652,000880.SZ,4.5455
4796,000895.SZ,10.7041
4797,000895.SZ,7.8536
4809,000897.SZ,234.3321
4810,000897.SZ,9.2105
4822,000898.SZ,-77.5414
4823,000898.SZ,-75.3425
4895,000905.SZ,239.5789
4896,000905.SZ,212.8205
4932,000909.SZ,-25.4237
4933,000909.SZ,-26.9663
4988,000915.SZ,58.1818
4989,000915.SZ,8.1967
5031,000919.SZ,-39.8999
5032,000919.SZ,98.0574
5044,000920.SZ,4.7619
5045,000920.SZ,4.4304
5069,000922.SZ,23.7124
5070,000922.SZ,5.9382
5172,000932.SZ,-40.4807
5173,000932.SZ,-42.3717
