,ts_code,EPS,SMR,EPS_Stability
50,000576.SZ,7.7,88.4,89.5
51,000598.SZ,41.1,60.3,5.0
52,000600.SZ,74.6,47.0,57.1
53,000603.SZ,66.0,83.3,65.1
54,000612.SZ,8.9,72.1,80.9
55,000613.SZ,78.6,3.5,79.9
56,000617.SZ,34.0,34.3,8.6
57,000619.SZ,15.1,44.1,67.6
58,000628.SZ,85.2,97.1,79.7
59,000629.SZ,90.0,7.3,71.9
60,000631.SZ,67.8,6.5,67.4
61,000635.SZ,29.6,67.5,79.3
62,000655.SZ,88.5,77.5,97.1
63,000656.SZ,82.4,81.6,64.0
64,000661.SZ,79.4,90.7,32.1
65,000666.SZ,53.1,8.3,66.4
66,000670.SZ,1.7,3.9,90.6
67,000680.SZ,50.8,4.6,62.0
68,000702.SZ,98.6,98.1,88.4
69,000708.SZ,71.1,57.8,11.6
70,000712.SZ,11.5,66.9,70.1
71,000715.SZ,62.0,42.5,39.0
72,000717.SZ,99.7,12.6,93.8
73,000722.SZ,38.7,14.4,45.0
74,000728.SZ,19.2,29.2,54.2
75,000735.SZ,77.7,95.0,85.8
76,000736.SZ,93.8,84.6,99.3
77,000739.SZ,66.9,65.6,23.5
78,000750.SZ,92.3,97.2,77.3
79,000756.SZ,70.4,35.0,49.4
80,000765.SZ,23.0,20.5,70.7
81,000768.SZ,48.1,16.6,44.4
82,000776.SZ,47.7,73.6,44.5
83,000779.SZ,95.3,99.0,73.2
84,000786.SZ,24.5,32.9,61.3
85,000789.SZ,88.9,61.8,95.2
86,000791.SZ,92.9,30.8,95.3
87,000795.SZ,87.4,63.8,66.9
88,000800.SZ,55.2,3.6,91.7
89,000807.SZ,86.2,77.9,76.9
90,000810.SZ,88.8,79.0,69.4
91,000818.SZ,83.5,18.0,73.3
92,000819.SZ,95.0,21.7,82.7
93,000822.SZ,95.7,5.8,99.0
94,000823.SZ,56.0,28.1,87.4
95,000828.SZ,44.1,66.4,5.4
96,000848.SZ,29.3,60.2,12.6
97,000856.SZ,36.8,2.8,70.5
98,000859.SZ,92.1,84.1,71.1
99,000862.SZ,2.1,38.3,90.0
100,000868.SZ,4.3,53.7,80.2
101,000875.SZ,1.4,59.3,99.6
102,000876.SZ,81.9,89.6,55.0
103,000877.SZ,94.6,55.9,98.5
104,000880.SZ,84.4,79.5,69.0
105,000895.SZ,41.2,68.6,10.5
106,000897.SZ,9.7,99.3,71.6
107,000898.SZ,83.8,6.9,75.0
108,000905.SZ,74.3,80.4,65.6
109,000909.SZ,45.1,3.2,21.7
110,000915.SZ,47.3,85.9,45.8
111,000919.SZ,35.1,9.7,64.2
112,000920.SZ,27.7,9.3,46.9
113,000932.SZ,94.9,14.7,75.1
114,000951.SZ,79.3,57.3,66.0
115,000965.SZ,56.2,99.4,59.6
116,000973.SZ,13.3,5.1,48.8
117,000975.SZ,76.9,53.4,78.6
118,000978.SZ,98.1,17.8,80.6
119,000987.SZ,63.1,6.1,68.7
120,000993.SZ,1.9,68.9,94.9
121,000999.SZ,61.4,58.4,49.2
122,001696.SZ,51.2,33.7,19.4
123,001896.SZ,2.4,68.7,87.0
124,002007.SZ,56.3,55.5,19.6
125,002011.SZ,0.7,67.2,94.5
126,002012.SZ,90.2,63.2,78.7
127,002013.SZ,41.5,35.3,43.8
128,002014.SZ,46.5,43.2,6.2
129,002020.SZ,71.0,74.6,16.7
130,002023.SZ,66.8,91.3,54.6
131,002033.SZ,25.3,70.5,11.3
132,002039.SZ,77.3,24.6,76.1
133,002049.SZ,41.8,82.2,27.5
134,002053.SZ,15.4,58.9,41.2
135,002054.SZ,76.5,78.8,92.3
136,002056.SZ,51.0,34.0,23.2
137,002058.SZ,6.4,0.7,81.1
138,002066.SZ,40.8,93.1,46.3
139,002067.SZ,32.0,10.2,94.1
140,002075.SZ,87.1,8.7,93.2
141,002080.SZ,62.8,43.7,38.6
142,002084.SZ,80.9,79.7,60.7
143,002097.SZ,88.0,45.9,70.3
144,002099.SZ,78.3,47.4,62.5
145,002114.SZ,5.5,85.6,89.2
146,002119.SZ,69.0,38.5,48.0
147,002129.SZ,67.9,74.7,24.2
148,002134.SZ,7.6,80.2,77.6
149,002135.SZ,84.1,46.9,31.0
150,002136.SZ,83.0,19.4,91.8
151,002138.SZ,33.2,43.8,20.9
152,002139.SZ,68.9,51.5,29.0
153,002140.SZ,82.3,38.0,64.9
154,002152.SZ,24.8,48.7,30.2
155,002155.SZ,55.9,9.4,78.3
156,002156.SZ,9.4,2.2,59.8
157,002162.SZ,69.6,99.7,81.3
