,ts_code,EPS,SMR,EPS_Stability
673,603507.SH,10.2,74.0,52.1
674,603516.SH,36.0,76.3,54.1
675,603520.SH,69.7,81.1,36.4
676,603535.SH,25.6,37.9,10.4
677,603558.SH,71.4,46.7,32.8
678,603577.SH,28.2,86.4,41.6
679,603578.SH,27.0,46.2,6.4
680,603579.SH,35.0,46.3,17.0
681,603580.SH,24.3,31.7,15.9
682,603595.SH,9.5,1.5,72.6
683,603596.SH,51.6,79.9,31.4
684,603605.SH,63.9,79.1,18.7
685,603606.SH,91.3,91.4,56.2
686,603609.SH,75.9,82.7,42.3
687,603613.SH,85.6,88.7,53.7
688,603615.SH,17.3,29.0,10.0
689,603617.SH,27.9,48.5,19.5
690,603636.SH,79.1,76.2,83.3
691,603659.SH,52.8,61.5,54.4
692,603663.SH,61.8,53.1,35.1
693,603668.SH,14.4,27.1,9.8
694,603677.SH,17.8,29.9,9.3
695,603678.SH,63.2,64.5,16.2
696,603712.SH,63.8,88.8,53.8
697,603713.SH,73.6,50.6,38.9
698,603727.SH,87.7,93.2,74.4
699,603733.SH,64.5,60.0,36.7
700,603799.SH,99.6,6.4,98.6
701,603806.SH,42.5,78.4,43.6
702,603813.SH,43.8,41.6,24.5
703,603822.SH,44.4,59.5,39.3
704,603826.SH,32.9,40.2,18.8
705,603839.SH,27.1,72.8,5.5
706,603856.SH,43.6,64.2,31.8
707,603860.SH,20.9,59.6,28.9
708,603878.SH,69.2,62.5,65.0
709,603881.SH,32.6,9.5,10.9
710,603887.SH,86.7,96.7,57.0
711,603896.SH,36.5,70.4,8.3
712,603919.SH,32.5,53.9,7.3
713,603929.SH,16.3,26.8,46.6
714,603933.SH,13.0,6.6,59.5
715,603938.SH,37.2,28.9,35.3
716,603986.SH,75.7,87.1,39.6
717,603987.SH,48.4,71.5,12.7
718,603989.SH,43.3,45.0,16.0
719,603993.SH,75.1,94.7,65.4
720,603997.SH,71.5,86.7,30.0
721,688122.SH,22.1,56.6,13.7
722,688388.SH,81.6,65.8,58.6
