,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date
116,851231.SI,0.4,1.0,79.74,181.0,87.7,199.0,67.84,154.0,87.2,198.0,白酒,93.8,213.0,72.2,164.0,2020-05-28
117,851232.SI,11.5,26.0,84.58,192.0,88.5,201.0,94.27,214.0,96.5,219.0,啤酒,98.7,224.0,88.5,201.0,2020-05-28
118,851233.SI,5.3,12.0,93.83,213.0,97.4,221.0,86.78,197.0,97.4,221.0,其他酒类,97.4,221.0,90.3,205.0,2020-05-28
119,851234.SI,33.9,77.0,11.01,25.0,52.4,119.0,78.85,179.0,74.9,170.0,软饮料,71.8,163.0,41.9,95.0,2020-05-28
120,851235.SI,16.7,38.0,49.34,112.0,41.0,93.0,92.51,210.0,62.6,142.0,葡萄酒,74.0,168.0,16.7,38.0,2020-05-28
121,851236.SI,12.3,28.0,98.68,224.0,82.4,187.0,100.0,227.0,99.6,226.0,黄酒,99.6,226.0,75.3,171.0,2020-05-28
122,851241.SI,81.1,184.0,21.15,48.0,93.4,212.0,74.89,170.0,24.7,56.0,肉制品,65.6,149.0,80.2,182.0,2020-05-28
123,851242.SI,7.0,16.0,36.12,82.0,96.5,219.0,68.72,156.0,93.4,212.0,调味发酵品,89.4,203.0,89.0,202.0,2020-05-28
124,851243.SI,78.0,177.0,12.33,28.0,54.6,124.0,84.58,192.0,66.1,150.0,乳品,33.9,77.0,54.6,124.0,2020-05-28
125,851244.SI,9.3,21.0,35.24,80.0,97.8,222.0,88.99,202.0,94.3,214.0,食品综合,93.4,212.0,96.0,218.0,2020-05-28
126,851311.SI,27.8,63.0,48.9,111.0,62.1,141.0,89.87,204.0,89.4,203.0,毛纺,85.5,194.0,48.0,109.0,2020-05-28
127,851312.SI,13.7,31.0,14.1,32.0,13.2,30.0,29.52,67.0,18.9,43.0,棉纺,2.6,6.0,11.5,26.0,2020-05-28
128,851313.SI,84.6,192.0,85.46,194.0,49.3,112.0,81.94,186.0,90.7,206.0,丝绸,82.8,188.0,64.3,146.0,2020-05-28
129,851314.SI,72.2,164.0,1.76,4.0,23.8,54.0,41.85,95.0,59.9,136.0,印染,5.7,13.0,15.4,35.0,2020-05-28
130,851315.SI,70.9,161.0,80.18,182.0,27.3,62.0,62.11,141.0,73.1,166.0,辅料,33.0,75.0,12.3,28.0,2020-05-28
131,851316.SI,69.2,157.0,16.3,37.0,33.5,76.0,22.47,51.0,20.3,46.0,其他纺织,12.3,28.0,61.7,140.0,2020-05-28
132,851322.SI,86.3,196.0,34.36,78.0,8.4,19.0,35.68,81.0,13.2,30.0,男装,5.3,12.0,10.1,23.0,2020-05-28
133,851323.SI,83.7,190.0,4.41,10.0,0.4,1.0,44.93,102.0,7.0,16.0,女装,0.4,1.0,0.4,1.0,2020-05-28
134,851324.SI,97.4,221.0,9.25,21.0,3.5,8.0,4.41,10.0,4.8,11.0,休闲服装,1.8,4.0,4.0,9.0,2020-05-28
135,851325.SI,99.6,226.0,92.95,211.0,59.5,135.0,99.56,226.0,93.8,213.0,鞋帽,32.6,74.0,94.7,215.0,2020-05-28
136,851326.SI,40.5,92.0,2.64,6.0,80.6,183.0,3.08,7.0,97.8,222.0,家纺,95.6,217.0,74.4,169.0,2020-05-28
137,851327.SI,41.4,94.0,59.91,136.0,63.4,144.0,50.22,114.0,46.7,106.0,其他服装,15.9,36.0,55.9,127.0,2020-05-28
138,851411.SI,89.4,203.0,78.41,178.0,51.5,117.0,66.52,151.0,53.3,121.0,造纸,36.6,83.0,59.5,135.0,2020-05-28
139,851421.SI,67.8,154.0,32.16,73.0,32.2,73.0,56.83,129.0,37.0,84.0,包装印刷,31.7,72.0,26.9,61.0,2020-05-28
140,851432.SI,64.3,146.0,29.07,66.0,67.8,154.0,97.8,222.0,98.2,223.0,家具,93.0,211.0,74.9,170.0,2020-05-28
141,851433.SI,41.9,95.0,36.56,83.0,81.1,184.0,95.15,216.0,99.1,225.0,其他家用轻工,94.3,214.0,81.9,186.0,2020-05-28
142,851434.SI,51.5,117.0,51.1,116.0,4.0,9.0,63.44,144.0,58.1,132.0,珠宝首饰,9.3,21.0,7.0,16.0,2020-05-28
143,851435.SI,17.6,40.0,82.82,188.0,71.8,163.0,86.34,196.0,60.8,138.0,文娱用品,30.0,68.0,55.5,126.0,2020-05-28
144,851441.SI,87.2,198.0,99.12,225.0,15.4,35.0,98.68,224.0,89.0,202.0,其他轻工制造,21.6,49.0,9.3,21.0,2020-05-28
145,851511.SI,7.5,17.0,39.65,90.0,95.6,217.0,62.56,142.0,70.0,159.0,化学原料药,39.2,89.0,94.3,214.0,2020-05-28
146,851512.SI,11.0,25.0,14.54,33.0,78.4,178.0,27.31,62.0,41.9,95.0,化学制剂,24.7,56.0,63.4,144.0,2020-05-28
147,851521.SI,5.7,13.0,19.38,44.0,64.8,147.0,48.46,110.0,41.4,94.0,中药,41.0,93.0,48.9,111.0,2020-05-28
148,851531.SI,6.2,14.0,8.37,19.0,96.9,220.0,35.24,80.0,82.8,188.0,生物制品,85.0,193.0,93.8,213.0,2020-05-28
149,851541.SI,19.8,45.0,72.25,164.0,78.0,177.0,64.76,147.0,52.4,119.0,医药商业,17.6,40.0,56.8,129.0,2020-05-28
150,851551.SI,8.4,19.0,15.42,35.0,98.7,224.0,48.02,109.0,85.5,194.0,医疗器械,84.1,191.0,97.4,221.0,2020-05-28
151,851561.SI,4.0,9.0,37.89,86.0,85.0,193.0,48.9,111.0,78.4,178.0,医疗服务,75.3,171.0,68.7,156.0,2020-05-28
152,851611.SI,20.7,47.0,62.56,142.0,26.0,59.0,58.59,133.0,52.9,120.0,火电,47.1,107.0,18.1,41.0,2020-05-28
153,851612.SI,12.8,29.0,90.75,206.0,43.2,98.0,80.18,182.0,68.7,156.0,水电,51.1,116.0,31.3,71.0,2020-05-28
154,851613.SI,4.4,10.0,77.09,175.0,53.3,121.0,37.89,86.0,76.2,173.0,燃机发电,52.4,119.0,23.3,53.0,2020-05-28
155,851614.SI,6.6,15.0,100.0,227.0,83.3,189.0,90.31,205.0,88.5,201.0,热电,92.1,209.0,81.1,184.0,2020-05-28
156,851615.SI,37.9,86.0,71.81,163.0,15.9,36.0,59.47,135.0,28.2,64.0,新能源发电,22.5,51.0,8.8,20.0,2020-05-28
157,851621.SI,24.7,56.0,40.53,92.0,52.9,120.0,18.06,41.0,18.1,41.0,水务,22.9,52.0,37.0,84.0,2020-05-28
158,851631.SI,14.5,33.0,77.97,177.0,26.9,61.0,47.14,107.0,74.0,168.0,燃气,49.8,113.0,6.6,15.0,2020-05-28
159,851641.SI,59.5,135.0,17.62,40.0,59.9,136.0,37.44,85.0,17.2,39.0,环保工程及服务,27.8,63.0,45.4,103.0,2020-05-28
160,851711.SI,30.0,68.0,70.93,161.0,7.0,16.0,52.42,119.0,45.8,104.0,港口,30.4,69.0,6.2,14.0,2020-05-28
161,851721.SI,20.3,46.0,97.36,221.0,90.3,205.0,99.12,225.0,100.0,227.0,公交,100.0,227.0,84.1,191.0,2020-05-28
162,851731.SI,22.0,50.0,75.33,171.0,33.0,75.0,45.37,103.0,44.9,102.0,高速公路,57.3,130.0,27.3,62.0,2020-05-28
163,851741.SI,23.8,54.0,41.41,94.0,2.2,5.0,49.78,113.0,48.0,109.0,航空运输,48.5,110.0,2.6,6.0,2020-05-28
