,板块代码,,,,,,,本周强度,,3周强度,,,6周强度,,7个月强度,,,板块股票数,创新高股票数,涨幅超过5%数
,index_code,industry_base_rank,industry_base_rps,industry_front_rank,industry_front_rps,industry_year_rank,industry_year_rps,industry_week_rank,industry_week_rps,industry_3_rank,industry_3_rps,industry_name,industry_6_rank,industry_6_rps,industry_7_rank,industry_7_rps,date,stock_totality,new_high_flag,percent_5_rise
23,850323.SI,88.5,201.0,98.68,224.0,89.9,204.0,99.56,226.0,98.7,224.0,无机盐,98.7,224.0,85.5,194.0,2020-06-23,7,1.0,1.0
24,850324.SI,80.2,182.0,21.15,48.0,37.9,86.0,45.37,103.0,34.4,78.0,其他化学原料,68.7,156.0,55.5,126.0,2020-06-23,8,0.0,0.0
25,850331.SI,82.4,187.0,25.11,57.0,19.8,45.0,4.41,10.0,32.6,74.0,氮肥,21.6,49.0,38.3,87.0,2020-06-23,8,0.0,0.0
26,850332.SI,26.4,60.0,27.31,62.0,4.8,11.0,32.6,74.0,17.2,39.0,磷肥,26.4,60.0,6.2,14.0,2020-06-23,3,0.0,0.0
27,850333.SI,18.1,41.0,73.13,166.0,70.5,160.0,56.83,129.0,68.7,156.0,农药,67.0,152.0,74.0,168.0,2020-06-23,25,4.0,0.0
28,850334.SI,74.0,168.0,91.19,207.0,95.6,217.0,38.33,87.0,89.4,203.0,日用化学产品,88.5,201.0,93.0,211.0,2020-06-23,10,1.0,0.0
29,850335.SI,77.5,176.0,60.79,138.0,86.3,196.0,59.03,134.0,36.1,82.0,涂料油漆油墨制造,70.5,160.0,89.0,202.0,2020-06-23,14,1.0,0.0
30,850336.SI,52.9,120.0,48.46,110.0,48.0,109.0,86.34,196.0,4.0,9.0,钾肥,74.0,168.0,26.9,61.0,2020-06-23,3,0.0,0.0
31,850337.SI,42.7,97.0,49.34,112.0,89.0,202.0,53.3,121.0,83.7,190.0,民爆用品,77.1,175.0,93.8,213.0,2020-06-23,12,1.0,0.0
32,850338.SI,71.4,162.0,33.48,76.0,11.0,25.0,29.07,66.0,48.0,109.0,纺织化学用品,37.4,85.0,14.1,32.0,2020-06-23,10,0.0,0.0
33,850339.SI,59.0,134.0,67.4,153.0,77.1,175.0,89.87,204.0,77.5,176.0,其他化学制品,81.1,184.0,80.6,183.0,2020-06-23,99,10.0,2.0
34,850341.SI,8.8,20.0,57.71,131.0,31.3,71.0,21.15,48.0,18.1,41.0,涤纶,36.6,83.0,28.2,64.0,2020-06-23,13,0.0,0.0
35,850342.SI,35.7,81.0,6.17,14.0,9.3,21.0,40.97,93.0,12.3,28.0,维纶,8.4,19.0,22.9,52.0,2020-06-23,1,0.0,0.0
36,850343.SI,89.9,204.0,12.33,28.0,16.7,38.0,1.32,3.0,13.2,30.0,粘胶,3.1,7.0,17.6,40.0,2020-06-23,4,0.0,0.0
37,850344.SI,83.3,189.0,96.48,219.0,83.3,189.0,94.71,215.0,80.2,182.0,其他纤维,58.1,132.0,90.3,205.0,2020-06-23,4,1.0,0.0
38,850345.SI,30.8,70.0,71.37,162.0,57.7,131.0,91.19,207.0,31.7,72.0,氨纶,57.7,131.0,49.8,113.0,2020-06-23,2,0.0,0.0
39,850351.SI,44.1,100.0,30.84,70.0,54.6,124.0,37.44,85.0,21.6,49.0,其他塑料制品,28.2,64.0,46.3,105.0,2020-06-23,19,0.0,0.0
40,850352.SI,10.6,24.0,36.56,83.0,42.7,97.0,85.46,194.0,42.3,96.0,合成革,37.9,86.0,34.4,78.0,2020-06-23,3,1.0,0.0
41,850353.SI,79.7,181.0,2.64,6.0,99.1,225.0,0.88,2.0,74.9,170.0,改性塑料,58.6,133.0,99.1,225.0,2020-06-23,9,1.0,0.0
42,850361.SI,38.3,87.0,49.78,113.0,18.5,42.0,57.71,131.0,53.7,122.0,轮胎,11.5,26.0,15.0,34.0,2020-06-23,8,0.0,0.0
43,850362.SI,43.2,98.0,82.38,187.0,88.1,200.0,40.53,92.0,81.1,184.0,其他橡胶制品,75.8,172.0,89.9,204.0,2020-06-23,8,1.0,0.0
44,850363.SI,28.2,64.0,10.13,23.0,10.1,23.0,67.4,153.0,7.0,16.0,炭黑,48.9,111.0,35.2,80.0,2020-06-23,3,0.0,0.0
45,850372.SI,2.6,6.0,22.91,52.0,20.3,46.0,55.51,126.0,31.3,71.0,聚氨酯,51.1,116.0,26.0,59.0,2020-06-23,9,0.0,0.0
46,850373.SI,32.6,74.0,18.94,43.0,40.5,92.0,70.04,159.0,88.5,201.0,玻纤,63.0,143.0,63.4,144.0,2020-06-23,6,1.0,0.0
47,850381.SI,61.7,140.0,40.09,91.0,55.9,127.0,18.5,42.0,46.7,106.0,复合肥,11.0,25.0,48.0,109.0,2020-06-23,7,0.0,0.0
48,850382.SI,61.2,139.0,5.73,13.0,39.2,89.0,72.25,164.0,46.3,105.0,氟化工及制冷剂,55.1,125.0,43.2,98.0,2020-06-23,5,0.0,0.0
49,850383.SI,7.9,18.0,84.14,191.0,30.0,68.0,68.28,155.0,52.0,118.0,磷化工及磷酸盐,53.3,121.0,26.4,60.0,2020-06-23,4,0.0,1.0
50,850411.SI,17.2,39.0,50.66,115.0,15.9,36.0,19.38,44.0,74.4,169.0,普钢,46.7,106.0,12.3,28.0,2020-06-23,22,1.0,1.0
51,850412.SI,36.1,82.0,65.2,148.0,78.4,178.0,17.62,40.0,41.9,95.0,特钢,24.2,55.0,71.8,163.0,2020-06-23,11,1.0,1.0
52,850521.SI,39.6,90.0,90.31,205.0,49.8,113.0,88.11,200.0,79.3,180.0,金属新材料,69.6,158.0,67.0,152.0,2020-06-23,11,0.0,1.0
53,850522.SI,54.2,123.0,71.81,163.0,61.2,139.0,72.69,165.0,44.1,100.0,磁性材料,79.3,180.0,73.6,167.0,2020-06-23,12,0.0,0.0
54,850523.SI,55.1,125.0,62.56,142.0,44.9,102.0,74.01,168.0,69.6,158.0,非金属新材料,71.4,162.0,55.9,127.0,2020-06-23,8,0.0,0.0
