,ts_code,basic_eps_yoy,new_quarter_eps
4276,000823.SZ,12.3383,12.34
4313,000828.SZ,1.6831,1.68
4338,000830.SZ,-95.8848,-95.88
4364,000833.SZ,-6.1934,-6.19
4413,000838.SZ,-4.5499,-4.55
4438,000848.SZ,11.9048,11.9
4487,000856.SZ,2.4631,2.46
4512,000859.SZ,-21.4286,-21.43
4549,000862.SZ,-45.5511,-45.55
4574,000868.SZ,104.0,104.0
4599,000875.SZ,40.0,40.0
4612,000876.SZ,205.0,205.0
4625,000877.SZ,31.7955,31.8
4638,000878.SZ,348.861,348.86
4651,000880.SZ,100.0,100.0
4796,000895.SZ,10.7041,10.7
4809,000897.SZ,234.3321,234.33
4822,000898.SZ,-77.5414,-77.54
4895,000905.SZ,239.5789,239.58
4932,000909.SZ,-25.4237,-25.42
4988,000915.SZ,58.1818,58.18
5031,000919.SZ,-39.8999,-39.9
5044,000920.SZ,4.7619,4.76
5069,000922.SZ,23.7124,23.71
5172,000932.SZ,-40.4807,-40.48
5269,000949.SZ,14.5717,14.57
5294,000951.SZ,34.8148,34.81
5417,000965.SZ,90.0,90.0
5466,000969.SZ,175.719,175.72
5515,000973.SZ,-66.6667,-66.67
5528,000975.SZ,31.2799,31.28
5565,000978.SZ,-31.3901,-31.39
5643,000987.SZ,119.4872,119.49
5692,000993.SZ,127.0588,127.06
5745,000999.SZ,47.9452,47.95
5758,001696.SZ,12.7946,12.79
5783,001896.SZ,115.1568,115.16
5796,001914.SZ,-68.1563,-68.16
5905,002007.SZ,-4.7568,-4.76
5955,002011.SZ,105.9322,105.93
5968,002012.SZ,100.0,100.0
5981,002013.SZ,12.5,12.5
5994,002014.SZ,20.0,20.0
6063,002020.SZ,42.6614,42.66
6100,002023.SZ,25.0,25.0
6125,002025.SZ,11.9048,11.9
6222,002033.SZ,6.1944,6.19
6295,002039.SZ,-21.0911,-21.09
6380,002046.SZ,19.0476,19.05
6417,002049.SZ,16.6202,16.62
6466,002053.SZ,9.8376,9.84
6479,002054.SZ,116.6667,116.67
6504,002056.SZ,0.0,0.0
6529,002058.SZ,-433.3333,-433.33
6554,002060.SZ,16.5269,16.53
6627,002066.SZ,48.3957,48.4
6640,002067.SZ,-43.3333,-43.33
6726,002075.SZ,-54.717,-54.72
6787,002080.SZ,14.1608,14.16
6836,002084.SZ,218.1159,218.12
6993,002097.SZ,16.3838,16.38
7018,002099.SZ,26.3158,26.32
7103,002106.SZ,25.0,25.0
7200,002114.SZ,110.0,110.0
7237,002117.SZ,3.8674,3.87
7262,002119.SZ,19.0476,19.05
7383,002129.SZ,38.7345,38.73
7444,002134.SZ,120.8333,120.83
7457,002135.SZ,52.9412,52.94
7470,002136.SZ,-29.7575,-29.76
7495,002138.SZ,-15.2542,-15.25
7508,002139.SZ,50.0,50.0
7521,002140.SZ,17.8571,17.86
7582,002145.SZ,8.1633,8.16
7595,002146.SZ,20.6897,20.69
7668,002152.SZ,10.7143,10.71
7705,002155.SZ,-40.9091,-40.91
7718,002156.SZ,-81.8182,-81.82
7791,002162.SZ,55.7895,55.79
7804,002163.SZ,50.0,50.0
7829,002165.SZ,200.0,200.0
7854,002167.SZ,-2433.3333,-2433.33
8000,002179.SZ,11.872,11.87
8025,002181.SZ,53.8298,53.83
8038,002182.SZ,176.2998,176.3
8051,002183.SZ,-55.5556,-55.56
8088,002186.SZ,-38.8936,-38.89
8130,002190.SZ,412.9303,412.93
8251,002200.SZ,114.0519,114.05
8276,002202.SZ,-37.8112,-37.81
8325,002206.SZ,-3.4483,-3.45
8350,002208.SZ,30.7263,30.73
8387,002211.SZ,-891.8288,-891.83
8556,002225.SZ,8.0,8.0
8629,002231.SZ,136.0634,136.06
8654,002233.SZ,0.8093,0.81
8691,002236.SZ,26.4368,26.44
8704,002237.SZ,-24.4444,-24.44
8717,002238.SZ,-3.125,-3.12
8766,002242.SZ,8.0808,8.08
8779,002243.SZ,55.6081,55.61
8804,002245.SZ,-47.8469,-47.85
8841,002248.SZ,104.8128,104.81
8914,002254.SZ,34.6154,34.62
8951,002258.SZ,-46.1476,-46.15
8981,002261.SZ,100.0,100.0
8995,002262.SZ,26.9231,26.92
9272,002285.SZ,-80.0,-80.0
9357,002292.SZ,107.5,107.5
9382,002294.SZ,-54.8387,-54.84
9408,002296.SZ,141.4286,141.43
9446,002299.SZ,171.8508,171.85
9459,002300.SZ,71.9577,71.96
9484,002302.SZ,116.6667,116.67
9497,002303.SZ,34.0491,34.05
9602,002312.SZ,139.1688,139.17
9639,002315.SZ,166.6667,166.67
9676,002318.SZ,63.8889,63.89
9701,002320.SZ,4.0452,4.05
9750,002324.SZ,66.6667,66.67
9860,002333.SZ,132.0092,132.01
9909,002337.SZ,100.0,100.0
9994,002344.SZ,-21.4286,-21.43
10067,002350.SZ,-21.0235,-21.02
10092,002352.SZ,28.1553,28.16
10105,002353.SZ,121.875,121.88
10213,002362.SZ,134.057,134.06
10274,002367.SZ,1527.1795,1527.18
10311,002370.SZ,-1089.7436,-1089.74
10420,002379.SZ,3667.7419,3667.74
10613,002395.SZ,36.1736,36.17
10626,002396.SZ,5.1676,5.17
10651,002398.SZ,61.1111,61.11
10688,002401.SZ,16.1867,16.19
10701,002402.SZ,35.2208,35.22
10726,002404.SZ,8.0,8.0
10799,002410.SZ,-46.8009,-46.8
10908,002419.SZ,-4.99,-4.99
11017,002428.SZ,-1000.0,-1000.0
11030,002429.SZ,154.065,154.06
11115,002436.SZ,42.8571,42.86
11140,002438.SZ,65.3595,65.36
11177,002441.SZ,7.8947,7.89
11190,002442.SZ,-85.5335,-85.53
11275,002449.SZ,-8.6704,-8.67
11312,002452.SZ,158.9247,158.92
11385,002458.SZ,501.5873,501.59
11398,002459.SZ,69.3333,69.33
11423,002461.SZ,29.4118,29.41
11448,002463.SZ,109.862,109.86
11473,002465.SZ,21.0526,21.05
11522,002469.SZ,87.5,87.5
11547,002471.SZ,-642.3477,-642.35
11703,002484.SZ,-1.2048,-1.2
11776,002490.SZ,-312.2519,-312.25
11801,002492.SZ,-8.5091,-8.51
11826,002494.SZ,1.8307,1.83
11863,002497.SZ,-63.1579,-63.16
11984,002507.SZ,-8.3333,-8.33
12117,002518.SZ,37.5,37.5
12130,002519.SZ,113.5922,113.59
12155,002521.SZ,125.0,125.0
12300,002534.SZ,51.5152,51.52
12349,002538.SZ,-21.4286,-21.43
12446,002546.SZ,5.2632,5.26
12519,002552.SZ,100.0,100.0
12532,002553.SZ,-53.1841,-53.18
12557,002555.SZ,112.766,112.77
12582,002557.SZ,39.5785,39.58
12631,002561.SZ,-8.9286,-8.93
12668,002564.SZ,-44.4444,-44.44
12717,002568.SZ,190.0,190.0
12766,002572.SZ,13.4615,13.46
12851,002579.SZ,81.8182,81.82
13020,002593.SZ,0.0,0.0
13045,002595.SZ,16.7334,16.73
13070,002597.SZ,-10.4938,-10.49
13119,002601.SZ,12.1739,12.17
13185,002607.SZ,31.8182,31.82
13606,002642.SZ,102.6156,102.62
13679,002648.SZ,34.8315,34.83
13800,002658.SZ,-23.3333,-23.33
13981,002673.SZ,150.0,150.0
14178,002690.SZ,21.6,21.6
14239,002695.SZ,26.1765,26.18
14264,002697.SZ,58.3333,58.33
14361,002706.SZ,25.0,25.0
14442,002714.SZ,1558.8235,1558.82
14455,002715.SZ,-63.7097,-63.71
14542,002723.SZ,142.2989,142.3
14555,002724.SZ,-35.9589,-35.96
14569,002725.SZ,-27.7778,-27.78
14594,002727.SZ,15.9093,15.91
14607,002728.SZ,8.9744,8.97
14692,002735.SZ,-37.5,-37.5
14706,002736.SZ,47.37,47.37
14779,002742.SZ,12.6267,12.63
14816,002746.SZ,148.2759,148.28
14925,002756.SZ,-12.037,-12.04
14962,002759.SZ,-123.8095,-123.81
15096,002771.SZ,-25.0,-25.0
15133,002774.SZ,-71.4286,-71.43
15230,002782.SZ,-73.7845,-73.78
15363,002795.SZ,-26.8293,-26.83
15388,002797.SZ,305.56,305.56
15401,002798.SZ,47.5248,47.52
15414,002799.SZ,131.5789,131.58
15427,002800.SZ,237.5,237.5
15440,002801.SZ,68.6747,68.67
15465,002803.SZ,40.7407,40.74
15502,002807.SZ,22.9533,22.95
15539,002810.SZ,113.4966,113.5
15564,002812.SZ,47.2222,47.22
15625,002818.SZ,9.1837,9.18
15638,002819.SZ,12.6101,12.61
15663,002821.SZ,28.7234,28.72
15712,002825.SZ,-14.2857,-14.29
15858,002838.SZ,88.8889,88.89
15932,002845.SZ,12.2449,12.24
15957,002847.SZ,80.7018,80.7
15994,002850.SZ,189.7436,189.74
16031,002853.SZ,24.1758,24.18
16080,002858.SZ,-36.6667,-36.67
16093,002859.SZ,157.1429,157.14
16107,002860.SZ,36.9048,36.9
16120,002861.SZ,11.3208,11.32
16145,002863.SZ,-11.7647,-11.76
16170,002865.SZ,-60.0,-60.0
16291,002876.SZ,81.4815,81.48
16328,002879.SZ,16.6667,16.67
16341,002880.SZ,9.3912,9.39
16366,002882.SZ,14.4716,14.47
16403,002885.SZ,-34.0909,-34.09
16464,002890.SZ,-69.0476,-69.05
16477,002891.SZ,39.3939,39.39
16514,002895.SZ,135.6322,135.63
16599,002902.SZ,4.7308,4.73
16612,002903.SZ,-86.9565,-86.96
16625,002905.SZ,-32.2034,-32.2
16674,002909.SZ,363.6364,363.64
16723,002913.SZ,-48.4848,-48.48
16749,002916.SZ,49.0909,49.09
16763,002917.SZ,-5.5556,-5.56
16812,002921.SZ,3.5714,3.57
16825,002922.SZ,34.375,34.38
16850,002925.SZ,17.6796,17.68
16863,002926.SZ,66.67,66.67
16876,002927.SZ,-2.2727,-2.27
16913,002930.SZ,-4.4444,-4.44
16970,002936.SZ,0.0,0.0
17251,002967.SZ,34.6939,34.69
17377,003816.SZ,5.2356,5.24
17414,300003.SZ,42.4854,42.49
17439,300005.SZ,162.5611,162.56
17464,300007.SZ,-266.6667,-266.67
17489,300009.SZ,-53.8462,-53.85
17514,300011.SZ,107.4017,107.4
17575,300016.SZ,133.3333,133.33
17612,300019.SZ,102.0325,102.03
17637,300021.SZ,23.0769,23.08
17662,300023.SZ,32.4176,32.42
17747,300030.SZ,118.1818,118.18
17784,300033.SZ,41.5254,41.53
17797,300034.SZ,37.2417,37.24
17822,300036.SZ,32.4324,32.43
18015,300052.SZ,42.8571,42.86
18076,300057.SZ,-8.7199,-8.72
18101,300059.SZ,79.2124,79.21
18178,300066.SZ,95.7447,95.74
18191,300067.SZ,15.6062,15.61
18276,300074.SZ,25.3623,25.36
18492,300092.SZ,540.0,540.0
18645,300105.SZ,66.8712,66.87
18670,300107.SZ,-50.5502,-50.55
18707,300110.SZ,6.8249,6.82
18756,300114.SZ,10.6178,10.62
18770,300115.SZ,119.8582,119.86
18816,300119.SZ,66.406,66.41
18829,300120.SZ,-5.1635,-5.16
18842,300121.SZ,-53.4653,-53.47
18915,300127.SZ,-4.1667,-4.17
18940,300129.SZ,1363.0137,1363.01
18953,300130.SZ,-1.9231,-1.92
19098,300142.SZ,-86.4364,-86.44
19147,300146.SZ,-134.7826,-134.78
19220,300152.SZ,102.1277,102.13
19245,300154.SZ,4.1667,4.17
19486,300174.SZ,-35.2192,-35.22
19547,300179.SZ,79.2049,79.2
19596,300183.SZ,10.4615,10.46
19633,300187.SZ,134.6154,134.62
19646,300188.SZ,-5.2632,-5.26
19707,300193.SZ,13.1579,13.16
19720,300194.SZ,183.3333,183.33
19745,300196.SZ,12.6984,12.7
19806,300201.SZ,-54.536,-54.54
19843,300204.SZ,-78.5714,-78.57
19916,300210.SZ,200.0,200.0
19930,300211.SZ,27.2727,27.27
19955,300213.SZ,18.1818,18.18
19980,300215.SZ,29.4118,29.41
20073,300223.SZ,332.3442,332.34
20086,300224.SZ,210.0,210.0
20123,300227.SZ,0.4565,0.46
20172,300231.SZ,17.0931,17.09
20209,300234.SZ,184.0,184.0
20222,300235.SZ,171.4286,171.43
20283,300240.SZ,125.0,125.0
20308,300242.SZ,100.6794,100.68
20333,300244.SZ,-21.1268,-21.13
20442,300253.SZ,29.8366,29.84
20659,300271.SZ,10.4478,10.45
20828,300285.SZ,-10.3448,-10.34
20841,300286.SZ,20.0,20.0
20878,300289.SZ,-83.7137,-83.71
20963,300296.SZ,-44.4623,-44.46
21060,300304.SZ,0.0,0.0
21073,300305.SZ,25.6342,25.63
21134,300310.SZ,101.81,101.81
21183,300314.SZ,120.0,120.0
21256,300320.SZ,27.5862,27.59
21281,300322.SZ,53.3333,53.33
21294,300323.SZ,-500.0,-500.0
21343,300327.SZ,12.5717,12.57
21380,300330.SZ,127.2727,127.27
21513,300341.SZ,0.2414,0.24
21526,300342.SZ,43.4783,43.48
21563,300345.SZ,116.9231,116.92
21672,300354.SZ,58.8235,58.82
21710,300357.SZ,28.08,28.08
21723,300358.SZ,11.1111,11.11
21770,300363.SZ,34.6154,34.62
21867,300371.SZ,34.2218,34.22
21913,300375.SZ,-33.3333,-33.33
21926,300376.SZ,-25.0,-25.0
21999,300382.SZ,-29.1667,-29.17
22084,300389.SZ,-55.5189,-55.52
22157,300395.SZ,15.5198,15.52
22182,300397.SZ,150.7042,150.7
22195,300398.SZ,-25.3731,-25.37
22232,300401.SZ,12.5,12.5
22257,300403.SZ,0.1853,0.19
22294,300406.SZ,10.0,10.0
22319,300408.SZ,-34.2105,-34.21
22392,300414.SZ,-51.6129,-51.61
22417,300416.SZ,18.1818,18.18
22656,300436.SZ,-33.3333,-33.33
22741,300443.SZ,75.5102,75.51
22838,300451.SZ,43.3333,43.33
22863,300453.SZ,50.0,50.0
22924,300458.SZ,13.8889,13.89
23045,300468.SZ,42.8571,42.86
23178,300479.SZ,85.9621,85.96
23191,300480.SZ,31.8182,31.82
23204,300481.SZ,35.7143,35.71
23217,300482.SZ,23.913,23.91
23230,300483.SZ,703.3333,703.33
23291,300488.SZ,85.7143,85.71
23388,300496.SZ,29.9299,29.93
23402,300497.SZ,56.1644,56.16
23499,300505.SZ,6.7579,6.76
23680,300520.SZ,104.1667,104.17
23705,300522.SZ,10.3713,10.37
23766,300528.SZ,101.3986,101.4
23779,300529.SZ,42.268,42.27
23816,300532.SZ,142.8571,142.86
23841,300534.SZ,3.9506,3.95
23866,300536.SZ,0.0,0.0
24047,300552.SZ,13516.6667,13516.67
24060,300553.SZ,26.4706,26.47
24073,300554.SZ,-73.456,-73.46
24134,300559.SZ,64.3467,64.35
24183,300563.SZ,21.8182,21.82
24262,300570.SZ,10.6061,10.61
24311,300575.SZ,-28.481,-28.48
24360,300579.SZ,13.9704,13.97
24373,300580.SZ,5.6934,5.69
24422,300584.SZ,16.8709,16.87
24471,300588.SZ,-60.7143,-60.71
24554,300595.SZ,41.29,41.29
24807,300617.SZ,-13.3333,-13.33
24820,300618.SZ,-98.0989,-98.1
24845,300620.SZ,-29.1015,-29.1
24858,300621.SZ,5.0,5.0
24871,300622.SZ,-24.6377,-24.64
24992,300632.SZ,21.519,21.52
25041,300636.SZ,96.6546,96.65
25054,300637.SZ,-26.6667,-26.67
25091,300640.SZ,-42.9407,-42.94
25165,300647.SZ,25.0,25.0
25202,300650.SZ,-9.434,-9.43
25239,300653.SZ,25.2336,25.23
25264,300655.SZ,-38.1802,-38.18
25289,300657.SZ,-14.1593,-14.16
25302,300658.SZ,68.75,68.75
25315,300659.SZ,196.875,196.88
25340,300661.SZ,69.2216,69.22
25437,300669.SZ,44.4444,44.44
25570,300680.SZ,700.0,700.0
25583,300681.SZ,-250.0,-250.0
25596,300682.SZ,340.7178,340.72
25633,300685.SZ,6.8182,6.82
25646,300686.SZ,1908.3851,1908.39
25695,300690.SZ,52.7473,52.75
25708,300691.SZ,0.0,0.0
25803,300699.SZ,38.3562,38.36
25828,300701.SZ,15.2542,15.25
25877,300706.SZ,-50.0,-50.0
25902,300708.SZ,-62.5,-62.5
25939,300711.SZ,8.9701,8.97
26000,300717.SZ,8.6957,8.7
26049,300721.SZ,-81.5558,-81.56
26098,300725.SZ,13.9785,13.98
26111,300726.SZ,31.4014,31.4
26124,300727.SZ,-23.0769,-23.08
26139,300729.SZ,8.9552,8.96
26164,300731.SZ,11.1111,11.11
26237,300738.SZ,76.0,76.0
26274,300741.SZ,3.6082,3.61
27063,600008.SH,16.3561,16.36
27076,600009.SH,18.6364,18.64
27101,600011.SH,-14.2857,-14.29
27114,600012.SH,-2.2744,-2.27
27139,600016.SH,7.0175,7.02
27152,600017.SH,0.0,0.0
27165,600018.SH,-11.7952,-11.8
27202,600021.SH,-67.4953,-67.5
27215,600022.SH,-72.5052,-72.51
27252,600026.SH,309.9617,309.96
27265,600027.SH,81.25,81.25
27278,600028.SH,-8.6372,-8.64
27291,600029.SH,-21.4286,-21.43
27304,600030.SH,31.17,31.17
27329,600033.SH,11.1111,11.11
27354,600036.SH,15.655,15.66
27379,600038.SH,15.2709,15.27
27416,600050.SH,21.9697,21.97
27429,600051.SH,28.75,28.75
27514,600058.SH,102.5734,102.57
27551,600061.SH,75.0,75.0
27564,600062.SH,8.9401,8.94
27577,600063.SH,185.7143,185.71
27602,600066.SH,-15.8416,-15.84
27615,600067.SH,-43.1373,-43.14
27628,600068.SH,16.5727,16.57
27665,600071.SH,-80.0,-80.0
27791,600082.SH,2.2026,2.2
27828,600085.SH,-13.0593,-13.06
27873,600089.SH,-4.2813,-4.28
28018,600103.SH,-17.5857,-17.59
28031,600104.SH,-28.9098,-28.91
28056,600106.SH,10.5263,10.53
28093,600109.SH,28.44,28.44
28166,600115.SH,10.5263,10.53
28179,600116.SH,-13.6364,-13.64
28216,600119.SH,109.1324,109.13
28229,600120.SH,14.1113,14.11
28278,600125.SH,-10.5398,-10.54
28291,600126.SH,-52.6316,-52.63
28304,600127.SH,125.0,125.0
28341,600130.SH,0.0,0.0
28426,600138.SH,-4.9067,-4.91
28583,600156.SH,-305.2402,-305.24
28620,600159.SH,9.0909,9.09
28645,600161.SH,18.3673,18.37
28754,600171.SH,61.9048,61.9
28803,600176.SH,-10.3275,-10.33
28876,600183.SH,40.4255,40.43
28957,600190.SH,-33.3333,-33.33
29018,600196.SH,21.4953,21.5
29062,600200.SH,122.5,122.5
29075,600201.SH,-7.1429,-7.14
29089,600202.SH,142.4632,142.46
29102,600203.SH,5.805,5.8
29175,600211.SH,45.8333,45.83
29260,600219.SH,-6.6667,-6.67
29297,600222.SH,140.9159,140.92
29310,600223.SH,112.5,112.5
29359,600228.SH,-166.6667,-166.67
29432,600234.SH,200.0,200.0
29445,600235.SH,33.3333,33.33
29619,600252.SH,22.2222,22.22
29680,600259.SH,117.0455,117.05
29764,600268.SH,0.0,0.0
29809,600272.SH,-35.7143,-35.71
29846,600276.SH,30.4348,30.43
29859,600277.SH,17.8571,17.86
29872,600278.SH,-24.1379,-24.14
29921,600282.SH,-35.1399,-35.14
29946,600284.SH,-9.8543,-9.85
30038,600292.SH,-12.5,-12.5
30087,600298.SH,5.2333,5.23
30100,600299.SH,5.7143,5.71
30125,600301.SH,-86.9565,-86.96
30208,600309.SH,-34.879,-34.88
30257,600313.SH,-42.6621,-42.66
30270,600315.SH,2.4691,2.47
30283,600316.SH,-42.0551,-42.06
30296,600317.SH,1.0996,1.1
30332,600320.SH,25.0,25.0
30345,600321.SH,-39.4191,-39.42
30406,600327.SH,-24.3243,-24.32
30455,600331.SH,103.1635,103.16
30468,600332.SH,-7.3251,-7.33
30661,600354.SH,21.8826,21.88
30686,600356.SH,36.3636,36.36
30747,600362.SH,0.0,0.0
30808,600368.SH,105.2632,105.26
30833,600370.SH,2.3774,2.38
30858,600372.SH,15.2023,15.2
30931,600379.SH,0.0,0.0
30944,600380.SH,7.6762,7.68
31005,600386.SH,-15.3846,-15.38
31102,600395.SH,15.4116,15.41
31115,600396.SH,114.2857,114.29
31266,600416.SH,17.3267,17.33
31279,600418.SH,114.2857,114.29
31304,600420.SH,-3.3741,-3.37
31328,600422.SH,-11.25,-11.25
31351,600425.SH,-38.4615,-38.46
31364,600426.SH,-19.0987,-19.1
31406,600433.SH,44.4444,44.44
31467,600444.SH,2.8855,2.89
31504,600449.SH,78.8889,78.89
31529,600455.SH,452.071,452.07
31542,600456.SH,70.1128,70.11
31555,600458.SH,113.2075,113.21
31663,600469.SH,1133.3333,1133.33
31712,600477.SH,-17.7358,-17.74
31737,600479.SH,15.2409,15.24
31762,600481.SH,-18.7863,-18.79
31833,600488.SH,0.0,0.0
31894,600495.SH,66.6667,66.67
31919,600497.SH,24.7751,24.78
32028,600507.SH,-43.2692,-43.27
32041,600508.SH,-14.1304,-14.13
32078,600511.SH,14.9457,14.95
32211,600523.SH,13.7931,13.79
32236,600526.SH,122.0779,122.08
32261,600528.SH,8.9552,8.96
32454,600548.SH,-27.3304,-27.33
32539,600557.SH,22.8571,22.86
32600,600562.SH,16.6667,16.67
32613,600563.SH,0.995,1.0
32638,600566.SH,-4.3269,-4.33
32759,600577.SH,4.5455,4.55
32832,600583.SH,-50.0,-50.0
32857,600585.SH,12.611,12.61
32894,600588.SH,92.0,92.0
33003,600598.SH,-13.1148,-13.11
33028,600600.SH,30.1994,30.2
33065,600603.SH,50.0,50.0
33078,600604.SH,-15.3846,-15.38
33091,600605.SH,2.6144,2.61
33142,600611.SH,13.5135,13.51
33239,600619.SH,-8.3333,-8.33
33252,600620.SH,0.0,0.0
33265,600621.SH,200.0,200.0
33382,600635.SH,12.5,12.5
33479,600643.SH,12.5,12.5
33492,600644.SH,10.3196,10.32
33541,600649.SH,-41.4634,-41.46
33554,600650.SH,0.2066,0.21
33612,600655.SH,-3.6131,-3.61
33626,600657.SH,-22.1154,-22.12
33694,600663.SH,9.7532,9.75
33802,600673.SH,5.5556,5.56
33918,600683.SH,-79.1667,-79.17
33931,600684.SH,-10.3448,-10.34
33944,600685.SH,129.3352,129.34
33981,600688.SH,-57.9918,-57.99
34042,600693.SH,28.3168,28.32
34067,600695.SH,-44.4444,-44.44
34269,600713.SH,28.0769,28.08
34318,600717.SH,3.125,3.12
34343,600719.SH,300.0,300.0
34356,600720.SH,88.4766,88.48
34381,600722.SH,-46.5035,-46.5
34406,600724.SH,-34.7969,-34.8
34443,600727.SH,74.0741,74.07
34456,600728.SH,156.9419,156.94
34493,600731.SH,86.6667,86.67
34506,600732.SH,60.8696,60.87
34591,600739.SH,58.0,58.0
34604,600740.SH,-74.0566,-74.06
34617,600741.SH,-19.4815,-19.48
34654,600744.SH,-66.6667,-66.67
34703,600748.SH,16.6667,16.67
34728,600750.SH,-2.2222,-2.22
34753,600753.SH,-6.25,-6.25
34766,600754.SH,0.9292,0.93
34851,600761.SH,11.3924,11.39
34924,600768.SH,460.8696,460.87
34997,600775.SH,-402.7211,-402.72
35011,600776.SH,3.9604,3.96
35024,600777.SH,79.5017,79.5
35061,600780.SH,24.9744,24.97
35122,600785.SH,32.7869,32.79
35135,600787.SH,-40.9091,-40.91
35184,600792.SH,26.3158,26.32
35209,600794.SH,333.3333,333.33
35222,600795.SH,19.1781,19.18
35259,600798.SH,-29.6467,-29.65
35308,600803.SH,-10.8108,-10.81
35333,600805.SH,44.4444,44.44
35363,600808.SH,-81.0184,-81.02
35388,600810.SH,-50.3401,-50.34
35413,600812.SH,2.1739,2.17
35434,600814.SH,57.1429,57.14
35468,600817.SH,-62.9032,-62.9
35493,600819.SH,120.0,120.0
35542,600823.SH,1.5625,1.56
35603,600828.SH,4.5579,4.56
35616,600829.SH,3.6654,3.67
